PMID,Title,Abstract,Keywords,Journal,Country,Year
33159072,Establishment of Neurospora crassa as a model organism for fungal virology.,"The filamentous fungus Neurospora crassa is used as a model organism for genetics, developmental biology and molecular biology. Remarkably, it is not known to host or to be susceptible to infection with any viruses. Here, we identify diverse RNA viruses in N. crassa and other Neurospora species, and show that N. crassa supports the replication of these viruses as well as some viruses from other fungi. Several encapsidated double-stranded RNA viruses and capsid-less positive-sense single-stranded RNA viruses can be experimentally introduced into N. crassa protoplasts or spheroplasts. This allowed us to examine viral replication and RNAi-mediated antiviral responses in this organism. We show that viral infection upregulates the transcription of RNAi components, and that Dicer proteins (DCL-1, DCL-2) and an Argonaute (QDE-2) participate in suppression of viral replication. Our study thus establishes N. crassa as a model system for the study of host-virus interactions.",?,Nature communications,Japan,2020 Nov 6
32270506,Quantification of Neurospora crassa mitochondrial DNA using quantitative real-time PCR.,"The filamentous fungus Neurospora crassa is a popular model organism used in a wide range of biochemical and genetic studies and vastly used in mitochondrial research. Despite the relevance of mitochondria in N. crassa biology, no method for quantification of mitochondrial DNA (mtDNA) is currently available. Quantitative real-time PCR (qPCR) is a powerful tool, with a wide range of applications, and has been used for the quantification of nucleic acids in humans and a few other species. Here we present a new qPCR assay for relative quantification of N. crassa mtDNA. Three sets of qPCR primers targeting different regions of the mitochondrial genome were tested for mtDNA quantification. The qPCR was successfully validated in N. crassa strains from different geographical locations, representing the vast genetic diversity of this species, and knockout mutant strains. Moreover the assay proved to be efficient in templates with varied amounts of mitochondria, obtained through different DNA extraction methods. The qPCR performed well in all tested samples revealing a higher amount of mtDNA than nuclear DNA in all cases. This technique will facilitate the characterization of mtDNA of N. crassa in future studies and can be used as a tool to validate methods of mitochondria isolation. SIGNIFICANCE AND IMPACT OF THE STUDY: The standardization of quantitative real-time PCR (qPCR) techniques is essential to enable and facilitate future comparisons. Neurospora crassa is a model organism with a lot of potential in different fields of study. Here we use N. crassa to develop and establish an assay to quantify mitochondrial DNA using qPCR. We tested strains with different geographical background and our data demonstrated the usefulness of this assay to quantify mitochondrial DNA in N. crassa. This technique can be useful in a wide variety of applications and in different types of studies.","['Neurospora crassa', 'DNA polymorphism', 'DNA quantitation', 'filamentous fungi', 'mitochondria isolation', 'mitochondrial DNA', 'mtDNA quantification', 'qPCR']",Letters in applied microbiology,Portugal,2020 Aug
36240974,The Neurospora crassa molybdate transporter: Characterizing a novel transporter homologous to the plant MOT1 family.,"Molybdenum (Mo) is an essential element for animals, plants, and fungi. To achieve biological activity in eukaryotes, Mo must be complexed into the molybdenum cofactor (Moco). Cells are known to take up Mo in the form of the oxyanion molybdate. However, molybdate transporters are scarcely characterized in the fungal kingdom. In plants and algae, molybdate is imported into the cell via two families of molybdate transporters (MOT), MOT1 and MOT2. For the filamentous fungus Neurospora crassa, a sequence homologous to the MOT1 family was previously annotated. Here we report a characterization of this molybdate-related transporter, encoded by the ncmot-1 gene. We found that the deletion of ncmot-1 leads to an accumulation of total Mo within the mycelium and a roughly 51 % higher tolerance against high molybdate levels when grown on ammonium medium. The localization of a GFP tagged NcMOT-1 was identified among the vacuolar membrane. Thereby, we propose NcMOT-1 as an exporter, transporting molybdate out of the vacuole into the cytoplasm. Lastly, the heterologous expression of NcMOT-1 in Saccharomyces cerevisiae verifies the functionality of this protein as a MOT. Our results open the way towards understanding molybdate transport as part of Mo homeostasis and Moco-biosynthesis in fungi.","['Molybdate transporter', 'Molybdenum cofactor', 'Molybdenum homeostasis', 'Molybdenum metabolism', 'Neurospora crassa']",Fungal genetics and biology : FG & B,Germany,2022 Nov
29801802,Neurospora crassa developmental control mediated by the FLB-3 transcription factor.,"Here, we report that the Neurospora crassa FLB-3 protein, the ortholog of the Aspergillus nidulans FlbC transcription factor, is required for developmental control. Deletion of flb-3 leads to changes in hyphae morphology and affects sexual and asexual development. We identified, as putative FLB-3 targets, the N. crassa aba-1, wet-1 and vos-1 genes, orthologs of the ones involved in A. nidulans asexual development and that work downstream of FlbC (abaA, wetA and vosA). In N. crassa, these three genes require FLB-3 for proper expression; however, they appear not to be required for normal development, as demonstrated by gene expression analyses during vegetative growth and asexual development. Moreover, mutant strains in the three genes conidiate well and produce viable conidia. We also determined FLB-3 DNA-binding preferences via protein-binding microarrays (PBMs) and demonstrated by chromatin immunoprecipitation (ChIP) that FLB-3 binds the aba-1, wet-1 and vos-1 promoters. Our data support an important role for FLB-3 in N. crassa development and highlight differences between the regulatory pathways controlled by this transcription factor in different fungal species.","['Development control', 'FLB-3', 'Neurospora crassa', 'Protein-binding microarrays (PBM)']",Fungal biology,Brazil,2018 Jun
31821884,Developing a tetO/TetR system in Neurospora crassa.,"The development of a tetO/TetR system in the fungus Neurospora crassa is described. The system includes (i) a synthetic gene encoding a TetR variant fused to GFP, and (ii) a standard tetO array integrated homologously, as a proof of principle, near the his-3 gene. The localization of TetR-GFP at the tetO array (observed by fluorescence microscopy) can be disrupted by the application of tetracycline. The full-length array is stable during vegetative growth, but it triggers strong repeat-induced point mutation (RIP) by the RID-dependent as well as the DIM-2-dependent pathways during the sexual phase. Thus, both RIP pathways must be inactivated to allow the faithful inheritance of the unmodified construct. In summary, this study introduces a new molecular tool into Neurospora research, and suggests that the standard tetO array can self-engage in recombination-independent homologous pairing.","['FROS', 'Fluorescent repressor operator system', 'Neurospora', 'RIP', 'Repeat-induced point mutation', 'TetR', 'tetO']",Fungal genetics and biology : FG & B,France,2020 Mar
29876822,ChIP-Seq Analysis in Neurospora crassa.,"Chromatin immunoprecipitation paired with next-generation sequencing (ChIP-seq) can be used to determine genome-wide distribution of transcriptions factors, transcriptional machinery, or histone modifications. DNA-protein interactions are covalently cross-linked with the addition of formaldehyde. Chromatin is prepared and sheared, then immunoprecipitated with the appropriate antibody. After reversal of cross-linking and treating with protease, the resulting DNA fragments are sequenced and mapped to the reference genome to determine overall enrichment. Here we describe a method of ChIP-seq for investigating protein-DNA interactions in the filamentous fungus Neurospora crassa.","['Chromatin immunoprecipitation', 'Histone modifications', 'Protein-DNA interactions', 'Transcription factor binding']","Methods in molecular biology (Clifton, N.J.)",USA,2018
36744948,Developing a Temperature-Inducible Transcriptional Rheostat in Neurospora crassa.,"Heat shock protein (HSP)-encoding genes (hsp), part of the highly conserved heat shock response (HSR), are known to be induced by thermal stress in several organisms. In Neurospora crassa, three hsp genes, hsp30, hsp70, and hsp80, have been characterized; however, the role of defined cis elements in their responses to discrete changes in temperature remains largely unexplored. To fill this gap, while also aiming to obtain a reliable fungal heat shock-inducible system, we analyzed different sections of each hsp promoter by assessing the expression of real-time transcriptional reporters. Whereas all three promoters and their resected versions were acutely induced by high temperatures, only hsp30 displayed a broad range of expression and high tunability, amply exceeding other inducible promoter systems existing in Neurospora, such as quinic acid- or light-inducible ones. As proof of concept, we employed one of these promoters to control the expression of clr-2, which encodes the master regulator of Neurospora cellulolytic capabilities. The resulting strain fails to grow on cellulose at 25 degrees C, whereas it grows robustly if heat shock pulses are delivered daily. Additionally, we designed two hsp30 synthetic promoters and characterized them, as well as the native promoters, using a gradient of high temperatures, yielding a wide range of responses to thermal stimuli. Thus, Neurospora hsp30-based promoters represent a new set of modular elements that can be used as transcriptional rheostats to adjust the expression of a gene of interest or for the implementation of regulated circuitries for synthetic biology and biotechnological strategies. IMPORTANCE A timely and dynamic response to strong temperature fluctuations is paramount for organismal biology. At the same time, inducible promoters are a powerful tool for fungal biotechnological and synthetic biology endeavors. In this work, we analyzed the activity of several N. crassa heat shock protein (hsp) promoters at a wide range of temperatures, observing that hsp30 exhibits remarkable sensitivity and a dynamic range of expression as we charted the response of this promoter to subtle increases in temperature, and also as we built and analyzed synthetic promoters based on hsp30 cis elements. As proof of concept, we tested the ability of hsp30 to provide tight control of a central process, cellulose degradation. While this study provides an unprecedented description of the regulation of the N. crassa hsp genes, it also contributes a noteworthy addition to the molecular toolset of transcriptional controllers in filamentous fungi.","['HSP', 'Neurospora', 'Neurospora crassa', 'heat shock', 'hsp promoters', 'inducible promoter', 'synthetic biology', 'synthetic promoter', 'transcription']",mBio,Chile,2023 Feb 28
35353854,Wavelengths and irradiances modulate the circadian rhythm of Neurospora crassa.,"The circadian rhythm affects the biological evolution and operating mechanisms of organisms. The impact of light on the circadian rhythm is a significant concern for both biology and human well-being. However, the relation between different wavelengths, irradiances, and circadian rhythm is unknown. In this study, we compared the effects of four different monochromatic light-emitting diode (LED) light and two different irradiances on the circadian rhythm of a wild-type Neurospora crassa. The results demonstrated that the circadian rhythm of Neurospora crassa can be modulated by violet (lambdap = 393 nm), blue (lambdap = 462 nm), and green (lambdap = 521 nm) light, regardless of the irradiances, in the visible region. Unexpectedly, for the yellow light (lambdap = 591 nm), the 2 W/m2 light had a more significant impact on circadian rhythm modulation than the 0.04 W/m2 light had. Considering the highest energy of yellow light (2.25 eV) is lower than the High Occupied Molecular Orbital (HOMO)-Lowest Unoccupied Molecular Orbital (LUMO) gap of WC-1 (2.43 eV). We speculate that there may be other potential photoreceptors that are involved in circadian rhythm modulation. The HOMO-LOMO gaps of these proteins are greater than 1.98 eV and less than 2.25 eV. These results provide a strong foundation for a deeper understanding of the impact of different light on the circadian rhythm and also shed light on the identification of new circadian rhythm modulation photoreceptors.",?,PloS one,China,2022
26198228,Epigenetic and Posttranslational Modifications in Light Signal Transduction and the Circadian Clock in Neurospora crassa.,"Blue light, a key abiotic signal, regulates a wide variety of physiological processes in many organisms. One of these phenomena is the circadian rhythm presents in organisms sensitive to the phase-setting effects of blue light and under control of the daily alternation of light and dark. Circadian clocks consist of autoregulatory alternating negative and positive feedback loops intimately connected with the cellular metabolism and biochemical processes. Neurospora crassa provides an excellent model for studying the molecular mechanisms involved in these phenomena. The White Collar Complex (WCC), a blue-light receptor and transcription factor of the circadian oscillator, and Frequency (FRQ), the circadian clock pacemaker, are at the core of the Neurospora circadian system. The eukaryotic circadian clock relies on transcriptional/translational feedback loops: some proteins rhythmically repress their own synthesis by inhibiting the activity of their transcriptional factors, generating self-sustained oscillations over a period of about 24 h. One of the basic mechanisms that perpetuate self-sustained oscillations is post translation modification (PTM). The acronym PTM generically indicates the addition of acetyl, methyl, sumoyl, or phosphoric groups to various types of proteins. The protein can be regulatory or enzymatic or a component of the chromatin. PTMs influence protein stability, interaction, localization, activity, and chromatin packaging. Chromatin modification and PTMs have been implicated in regulating circadian clock function in Neurospora. Research into the epigenetic control of transcription factors such as WCC has yielded new insights into the temporal modulation of light-dependent gene transcription. Here we report on epigenetic and protein PTMs in the regulation of the Neurospora crassa circadian clock. We also present a model that illustrates the molecular mechanisms at the basis of the blue light control of the circadian clock.","['Neurospora crassa', 'acetylation', 'chromatin remodeling', 'circadian rhythms', 'light signal transduction', 'methylation', 'phosphorylation']",International journal of molecular sciences,Italy. marco.proietto@uniroma1.it,2015 Jul 7
25662450,Dissecting the mechanisms of the clock in Neurospora.,"The circadian clock exists to synchronize inner physiology with the external world, allowing life to anticipate and adapt to the continual changes that occur in an organism's environment. The clock architecture is highly conserved, present in almost all major branches of life. Within eukaryotes, the filamentous fungus Neurospora crassa has consistently been used as an excellent model organism to uncover the basic circadian physiology and molecular biology. The Neurospora model has elucidated our fundamental understanding of the clock as nested positive and negative feedback loop, regulated by transcriptional and posttranscriptional processes. This review will examine the basics of circadian rhythms in the model filamentous fungus N. crassa as well as highlight the output of the clock in Neurospora and the reasons that N. crassa has continued to be a strong model for the study of circadian rhythms. It will also synopsize classical and emerging methods in the study of the circadian clock.","['Circadian', 'Frequency', 'Molecular clock', 'Neurospora crassa', 'Output', 'White Collar Complex']",Methods in enzymology,USA,2015
25108323,Structural and functional organization of growing tips of Neurospora crassa Hyphae.,"Data are presented on a variety of intracellular structures of the vegetative hyphae of the filamentous fungus Neurospora crassa and the involvement of these structures in the tip growth of the hyphae. Current ideas on the molecular and genetic mechanisms of tip growth and regulation of this process are considered. On the basis of comparison of data on behaviors of mitochondria and microtubules and data on the electrical heterogeneity of the hyphal apex, a hypothesis is proposed about a possible supervisory role of the longitudinal electric field in the structural and functional organization of growing tips of the N. crassa hyphae.",?,Biochemistry. Biokhimiia,Russia. potapova@genebee.msu.su,2014 Jul
29119270,Functional diversity in the pH signaling pathway: an overview of the pathway regulation in Neurospora crassa.,"Microorganisms have the ability to adapt and respond to different environmental conditions, whether they are stressful or not. Although the detection and/or responding mechanisms are often unknown, a large number of proteins may participate in signal transduction pathways involved in environmental stimulus to induce physiological and cellular events. Here, we examine the important role in cell homeostasis that extracellular pH plays in different fungi, and summarize the recent data reported in distinct organisms, by comparing them to the well-characterized mechanisms firstly described in Aspergillus and yeast. While most of the knowledge regarding the cellular processes triggered by the pH signaling pathway is based on the work in these two organisms, new data have been emerging in a diverse group of filamentous fungi, namely the involvement of this signaling pathway in metabolism and fungal pathogenicity. In this review, we present the major aspects of the pH signaling pathway in different model organisms, focusing on the protein components and the biological processes influenced by this pathway. In particular, we discuss novel cellular processes regulated by this pathway in the fungus Neurospora crassa. The diversity of functional processes that are affected under pH stress highlights how broadly this condition impacts on basic cellular processes in fungi and reveals how divergent fungal species are.","['Ambient pH stress', 'Fungi', 'Reserve carbohydrate metabolism', 'Signaling pathways', 'Transcription factors']",Current genetics,Brazil,2018 Jun
35699373,HDA-2-Containing Complex Is Required for Activation of Catalase-3 Expression in Neurospora crassa.,"It is essential for aerobic organisms to maintain the homeostasis of intracellular reactive oxygen species (ROS) for survival and adaptation to the environment. In line with other eukaryotes, the catalase of Neurospora crassa is an important enzyme for clearing ROS, and its expression is tightly regulated by the growth phase and various oxidative stresses. Our study reveals that, in N. crassa, histone deacetylase 2 (HDA-2) and its catalytic activity positively regulate the expression of the catalase-3 (cat-3) gene. HDA-2, SIF-2, and SNT-1 may form a subcomplex with such a regulation role. As expected, deletion of HDA-2 or SIF-2 subunit increased acetylation levels of histone H4, indicating that loss of HDA-2 complex fails to deacetylate H4 at the cat-3 locus. Furthermore, loss of HDA-2 or its catalytic activity led to dramatic decreases of TFIIB and RNA polymerase II (RNAP II) recruitment at the cat-3 locus and also resulted in high deposition of H2A.Z at the promoter and transcription start site (TSS) regions of the cat-3 gene. Collectively, this study strongly demonstrates that the HDA-2-containing complex activates the transcription of the cat-3 gene by facilitating preinitiation complex (PIC) assembly and antagonizing the inhibition of H2A.Z at the cat-3 locus through H4 acetylation. IMPORTANCE Clearance of reactive oxygen species (ROS) is critical to the survival of aerobic organisms. In the model filamentous fungus Neurospora crassa, catalase-3 (cat-3) expression is activated in response to H(2)O(2)-induced ROS stress. We found that histone deacetylase 2 (HDA-2) positively regulates cat-3 transcription in N. crassa; this is widely divergent from the classical repressive role of most histone deacetylases. Like HDA-2, the SIF-2 or SNT-1 subunit of HDA-2-containing complex plays a positive role in cat-3 transcription. Furthermore, we also found that HDA-2-containing complex provides an appropriate chromatin environment to facilitate PIC assembly and to antagonize the inhibition role of H2A.Z at the cat-3 locus through H4 acetylation. Taken together, our results establish a mechanism for how the HDA-2-containing complex regulates transcription of the cat-3 gene in N. crassa.","['Catalase-3', 'HDA-2', 'Histone H4 acetylation', 'Neurospora crassa']",mBio,China,2022 Aug 30
32152733,Two dominant selectable markers for genetic manipulation in Neurospora crassa.,"Neurospora crassa is an excellent model fungus for studies on molecular genetics, biochemistry, physiology, and molecular cell biology. Along with the rapid progress of Neurospora research, new tools facilitating more efficient and accurate genetic analysis are in high demand. Here, we tested whether the dominant selective makers widely used in yeasts are applicable in N. crassa. Among them, we found that the strains of N. crassa are sensitive to the aminoglycoside antibiotics, G418 and nourseothricin. 1000 mug/mL of G418 or 50 mug/mL of nourseothricin is sufficient to inhibit Neurospora growth completely. When the neomycin phosphotransferase gene (neo) used in mammalian cells is expressed, N. crassa shows potent resistance to G418. This establishes G418-resistant marker as a dominant selectable marker to use in N. crassa. Similarly, when the nourseothricin acetyltransferase gene (nat) from Streptomyces noursei is induced by qa-2 promoter in the presence of quinic acid (QA), N. crassa shows potent resistance to nourseothricin. When nat is constitutively expressed by full-length or truncated versions of the promoter from the N. crassa cfp gene (NCU02193), or by the trpC promoter of Aspergillus nidulans, the growth of N. crassa in the presence of nourseothricin is proportional to the expression levels of Nat. Finally, these two markers are used to knock-out wc-2 or al-1 gene from the N. crassa genome. The successful development of these two markers in this study expands the toolbox for N. crassa and very likely for other filamentous fungi as well.","['Dominant drug resistance marker', 'Fungus', 'G418', 'Gene deletion', 'Neurospora crassa', 'Nourseothricin (NTC)']",Current genetics,China,2020 Aug
32389313,A circadian clock in Neurospora crassa functions during plant cell wall deconstruction.,"Circadian clocks are autonomous timers that are believed to confer organisms a selective advantage by enabling processes to occur at appropriate times of the day. In the model fungus Neurospora crassa, 20-40 % of its genes are reported to be under circadian regulation, as assayed in simple sugar media. Although it has been well-described that Neurospora efficiently deconstructs plant cell wall components, little is known regarding the status of the clock when Neurospora grows on cellulosic material, or whether such a clock has an impact on any of the genes involved in this process. Through luciferase-based reporters and fluorescent detection assays, we show that a clock is functioning when Neurospora grows on cellulose-containing wheat straw as the only carbon and nitrogen source. Additionally, we found that the major cellobiohydrolase encoding gene involved in plant cell wall deconstruction, cbh-1, is rhythmically regulated by the Neurospora clock, in a manner that depends on cellulose concentration and on the transcription factor CRE-1, known as a key player in carbon-catabolite repression in this fungus. Our findings are a step towards a more comprehensive understanding on how clock regulation modulates cellulose degradation, and thus Neurospora's physiology.","['Cellulose degradation', 'Clock Regulation', 'Luciferase real-time reporter']",Fungal biology,Chile,2020 May
