keywords,counts
Rna interference (rnai),1
Wound enzymes,1
Chitosan hydrogel,1
Anti-oxidant,1
Safety,1
Anti-inflammatory,1
Bacterial laccase,1
Thermodynamics,1
Immobead 150p,1
Grafting,1
Zootechnical additives,1
Zoonotic,1
Virus,1
Variants of concern,1
Vaccine,1
Toxicology,1
Recombinant protein subunit vaccine,1
Receptor binding domain,1
Pandemic,1
Neutralizing antibodies,1
Intranasal challenge,1
Insect cells,1
Glycosylation,1
Glycoprotein,1
Glycans,1
Poultry,1
Protein evolution,1
Tamarindus indica,1
X-ray crystallography,1
Surface modifacation,1
Lignin degrading enzymes,1
Docking simulation,1
Hybrid,1
Decalin,1
Anticancer,1
Polyketide-amino acid,1
Mediator,1
Bioprospecting,1
Guaiacol,1
Basi-laccase cclcc5,1
Asco-laccase mtl,1
Natupulse(r),1
Mdf,1
Sequential solid state and submerged cultivation,1
Ca-lignosulfonate,1
Digestibility enhancers,1
Endo-1,1
4-beta-d-mannanase,1
6-dimethoxyphenol,1
Insect,1
Depolymerisation,1
Antifungal activity,1
Antibacterial activity,1
Hermetia illucens,1
Pectin,1
Single and mixed fungal species cultivation,1
Glucose oxidation,1
Redox chemistry,1
Epr,1
Sub-culturing,1
Molecular dynamics (md) simulation,1
Transporter,1
Eucalypt,1
Preservation,1
Lyophilization,1
Low temperature,1
Long-term preservation,1
Freezing,1
Cryopreservation,1
Solid media,1
Productivity,1
Myceliophtora sp,1
Pcbs,1
Cazyme gene regulation,1
F-box proteins,1
Mycoremediation,1
Bioaugmentation,1
Ascomycetous strains,1
Wood,1
Pilot scale,1
Medium-density fiberboards,1
Eucalyptus globulus,1
Paenibacillus odorifer,1
Molecular dynamics,1
Gh74,1
Neurospora crassa,1
Oleuropein aglycones,1
Mitochondrial carrier family (mcf),1
Glycerol,1
Hydroxytyrosol,1
Cardiolipin (cl),1
Laccase kinetics,1
Phenoxy radicals in lignin,1
H2o2,1
Enzyme assay,1
Real time assay,1
Fungal laccase,1
Aspergillus fumigatus,1
Aspergillus terreus,1
Corn stover,1
Chaetosartorya cremea,1
Thielavia australiensis,1
Thielavia terrestris,1
Malbranchea cinamomea,1
Penicillium citrinum,1
Oxygen consumption rate,1
Thermostable enzymes,1
Soy polysaccharides,1
Experimental design,1
Soy spent flake,1
Enzyme mixture,1
Nucleocytoplasmic transport,1
Macromolecular assemblages,1
S. cerevisiae,1
Talaromyces leycettanus,1
Adp/atp carrier (aac),1
Microwaves,1
Heat-tolerant fungi,1
Oleuropein,1
Enzyme hypersecretion,1
Direct electron transfer,1
Metal ion effect,1
Hygromycin b phosphotransferase gene hph,1
Glycoside hydrolases,1
Electroporation,1
Secondary effluent,1
Kinetic analysis,1
Micropollutants,1
Fumed silica nanoparticles,1
Trimeric influenza hemagglutinin,1
Fed-batch fermentation,1
Targeted influenza hemagglutinin,1
Recombinant protein expression,1
Influenza vaccine,1
Thermothelomyces heterothallica c1,1
Selection-free gene targeting,1
Rnp,1
Multiplexing,1
Cpf1,1
Cell factory,1
Fungal enzyme production,1
Cas9,1
Cas12a,1
Central composite design,1
Crispr,1
Multicopper oxidase,1
Ftacv,1
Fusarium sp.,1
Epinephrine,1
Marine fungi,1
Nad-dependent fdh,1
Enzymatic tailoring,1
Post-treatment modification/functionalization,1
Elenolic acid,1
Renatured xanthan,1
Hpsec,1
Degree of substitution,1
Fungal biotechnology,1
Saccharomyces cerevisiae,1
Dyadic,1
Circular dichroism,1
Expression optimization,1
Viscosity reduction,1
Food protein,1
Antioxidant peptide,1
Amino acid composition,1
Myceliophthora thermophile laccase,1
Isocyanide,1
Epoxy-functionalized supports,1
Gene expression,1
In vivo grna transcription,1
Gene editing,1
Lpmo biocatalysis,1
Filamentous fungus,1
Cazymes,1
Nanocellulose,1
N-glycosylation,1
Cloning,1
Structural analysis,1
Reaction kinetics,1
Conformation,1
Biomolecules,1
Biomanufacturing,1
Carbohydrate processing,1
Biomass degradation,1
Beta-mannanase,1
Thermotolerant,1
Synergism,1
Trehalase,1
Multi-copy,1
Ethanol fermentation,1
Platform,1
Myceliophthora thermophile,1
Mhglaa,1
Co-expression,1
2a peptide,1
Industrially relevant fungi,1
Cel7a,1
Rnai,1
Beta-n-acetylglucosaminidase,1
Chito-oligosaccharides,1
Chitinase,1
Pyrogallol,1
Gallic acid,1
Enzymatic oligomerization,1
Catechol,1
Green processing,1
Biocatalyzed polymerization,1
Enzyme,1
Sugar uptake,1
Bicovalent,1
Rice straw,1
Amyr,1
Carbohydrate-active enzymes,1
Mass spectrometry,1
Fungal growth,1
Mesoporous silicates,1
Glucan,1
Flavonoids,1
Electron donor,1
Rna interference,1
Cre1,1
Co2-fixation,1
Cbb cycle,1
Glycoside hydrolase family 74,1
Xanthan conformation,1
Position of acetyl groups,1
Enzymatic deacetylation,1
Axe3,1
Stabilisation,1
Immobilisation,1
Gene regulation,1
Chemical modification,1
Penicillium verruculosum,1
Modeling,1
Molecular mechanism,1
Enzyme engineering,1
Disulfide bond,1
Biomass conversion,1
Marker recycling,1
Crispr-cas12a,1
Library,1
High-throughput screening,1
Directed evolution,1
Laea,1
Oligosaccharide,1
Carbohydrate,1
Collagenolytic protease,1
Reductive tca,1
Galactose utilization,1
Galactose transport,1
Consolidated bioprocessing,1
C4-diacid,1
Biochemicals,1
Secretome composition,1
Cellulose oxidation,1
Thermostable cellulose,1
Solvent tolerance,1
Recombinant cellobiohydrolase,1
Extremozyme,1
Alkalistable,1
Transcriptomics,1
Genome-scale metabolic model,1
Mtalp1,1
Xylanolytic regulator,1
Xylan degradation,1
Pentose catabolism,1
Reduction,1
Oxidative cleavage,1
Mass spectrometric fragmentation,1
Lpmos,1
Active site segment,1
Solid-state cultivation,1
Logistic model,1
Growth kinetics,1
Hydrolytic enzymes,1
Biotechnological applications,1
Sporotrichum thermophile,1
Crystallization,1
Deep eutectic solvent,1
Er stress,1
Thermostable,1
Fumaric acid,1
Purification,1
Production,1
Poultry feed,1
Nutrition,1
Structure modelling,1
Principal component analysis (pca),1
Md simulation,1
Weimberg pathway,1
D-xylose dehydrogenase,1
D-xylose,1
4-butanetriol,1
Glucose and ethanol tolerance,1
Mthac-1,1
Homology modelling,1
3d protein structure,1
Metabolic regulation,1
Glycolysis,1
6-biphosphatase,1
6-phosphofructo-2-kinase/fructose-2,1
Precise engineering,1
Cytosine base editor,1
Base editing,1
Mtclr-2,1
Cellulase production,1
Mtcbh-1,1
Mttrc-1,1
Box-behnken,1
Multivariate analysis,1
Baculovirus,1
Polysaccharide monooxygenase,1
Bio-coloration,1
Morphine,1
Elimination,1
Aqueous systems,1
Glucuronic acid recognition,1
Acidic xylooligosaccharides,1
Anti-proliferative,1
Rmn,1
Lc-ms,1
Protein rewiring;,1
Myceliophthora;,1
Malate export,1
C4-dicarboxylic acid;,1
Oxaloacetic acid,1
Malonic acid,1
A-keto decarboxylase,1
Polymerisation,1
Phenolic compound extraction,1
Bamboo tablets,1
Bamboo powder,1
Modification,1
Lignosulfonate,1
Hydrophobicity,1
Fluorophenol,1
Coupling,1
Coating,1
Additives,1
Invasive pulmonary infection,1
Antifungal susceptibility testing,1
Codon optimization,1
Constitutive expression,1
Thermo-alkali-stable endoglucanase,1
Balb/c mice,1
Antigen,1
Aluminum-based vaccine adjuvants,1
Alum,1
Adjuvant,1
Thermothelomyces heterothallica,1
Sars-cov-2,1
Rbd,1
K18-hace-2 mice,1
Igg1 and igg2b,1
Igg,1
Covid-19,1
Cho-cell,1
C-tag,1
Natural mediators,1
Flow cytometry,1
Melanin,1
Reducing agent,1
Improved production,1
Hydrolytic activity,1
Cellulolytic cocktail improvement,1
Bioethanol,1
Glucuronoxylan,1
Glyco-phenol,1
Glucosamine,1
Functional properties,1
Oxidoreductases * electron transfer,1
Polyphenol oxidase * monophenol * lytic polysaccharide monooxygenase *,1
Plating-free,1
Acute lymphoblastic leukemia,1
Polysaccharide,1
Spray dryer,1
Oxygenase,1
Butyl ferulate,1
Ozonolysis,1
Fungal enzymes,1
Thermotolerant mutant,1
Antioxidase,1
Artp,1
Mtperii peroxidase,1
Hydrogen peroxide,1
Cyclic voltammetry,1
Amperometric response,1
Wastewater,1
Toxicity,1
Pbmcs,1
Laccases,1
Transglycosylation,1
Thermophilic,1
Overexpression,1
Glycoside hydrolase family 3,1
Ethanol tolerance,1
Transesterification,1
Prenyl ferulate,1
Dpph,1
Dcfh-da,1
Xylanases,1
Expression,1
Mass spectrometry (ms),1
Escherichia coli,1
Enzyme stability,1
Enzyme activity,1
Enzyme immobilisation,1
Esterification,1
Sba-15,1
Infant,1
Metalloprotein,1
Copper monooxygenase,1
Copper,1
Carbohydrate-binding protein,1
Auxiliary activity (aa) enzyme,1
Amylose,1
Ultrasound,1
Swelling,1
Peg-fitc,1
Systemic fungal infections,1
Superficial fungal infections,1
Prophylaxis,1
Itraconazole,1
Recombinant protein,1
Class ii peroxidase,1
Mycoprotein,1
Maize alpha-zein,1
Amaranth albumin a1,1
Agarose,1
1-ethyl-3-methylimidazolium ethylsulfate,1
Viscosity,1
Transceptor,1
Signal transduction,1
Mtlat-1,1
Mtara-1,1
L-arabinose transport,1
Hemicellulase,1
Polycatechol,1
Secretome,1
