GeneID,Gene_symbol
Mycth_111987,MMS2
Mycth_112014,ADH6
Mycth_112025,YGR201C
Mycth_112050,
Mycth_112051,
Mycth_112080,
Mycth_112086,
Mycth_112089,
Mycth_112121,PDC1
Mycth_112136,HTB1
Mycth_112137,HTA2
Mycth_112159,ERG9
Mycth_112204,OLI1
Mycth_112227,
Mycth_112306,
Mycth_112322,YHB1
Mycth_112329,ERG3
Mycth_112362,
Mycth_112363,MCA1
Mycth_112399,
Mycth_112411,
Mycth_112442,PRE8
Mycth_112471,
Mycth_112491,HXT2
Mycth_112498,
Mycth_112612,HEM13
Mycth_112686,SSA3
Mycth_112699,AYT1
Mycth_112700,HTZ1
Mycth_112714,TRR1
Mycth_112716,
Mycth_112802,
Mycth_112805,LYS2
Mycth_112815,DIT2
Mycth_112824,
Mycth_112826,
Mycth_112850,NAT1
Mycth_112889,
Mycth_112905,ENA5
Mycth_112916,CHS3
Mycth_112924,
Mycth_112996,
Mycth_113066,
Mycth_113138,
Mycth_113236,GCY1
Mycth_113239,NPA3
Mycth_113387,
Mycth_113450,CTS1
Mycth_113457,GAT1
Mycth_113577,ALD5
Mycth_113600,
Mycth_113715,COG4
Mycth_113886,ARC40
Mycth_113912,
Mycth_113985,
Mycth_114008,HMG2
Mycth_114083,
Mycth_114107,STL1
Mycth_114166,APN1
Mycth_114237,YMD8
Mycth_114376,YOL057W
Mycth_114482,CYB2
Mycth_114497,
Mycth_114666,YNL134C
Mycth_114667,
Mycth_114678,YBR241C
Mycth_114691,
Mycth_114710,
Mycth_114734,YIA6
Mycth_114738,ARD1
Mycth_114796,
Mycth_114955,
Mycth_115028,
Mycth_115052,NOP10
Mycth_115096,ERG20
Mycth_115110,
Mycth_115198,TAF5
Mycth_115501,CEM1
Mycth_115624,TEL1
Mycth_115754,
Mycth_115802,STE12
Mycth_115858,AVT1
Mycth_115886,
Mycth_115909,SNF2
Mycth_115935,
Mycth_115944,DBP8
Mycth_115957,
Mycth_115968,
Mycth_115983,
Mycth_116006,SWD2
Mycth_116020,RPL34B
Mycth_116157,
Mycth_116237,YPL088W
Mycth_116261,
Mycth_116322,PAN2
Mycth_116348,SCY1
Mycth_116363,
Mycth_116384,
Mycth_116510,
Mycth_116553,
Mycth_11658,
Mycth_116603,
Mycth_116679,
Mycth_116881,TNA1
Mycth_116885,
Mycth_116956,CET1
Mycth_117063,
Mycth_117073,
Mycth_117145,
Mycth_117146,
Mycth_117150,
Mycth_117206,EAF3
Mycth_117209,
Mycth_117245,
Mycth_117406,DDP1
Mycth_117428,
Mycth_117436,
Mycth_117478,YJL206C
Mycth_117495,RDS2
Mycth_117620,
Mycth_117625,BRE2
Mycth_117681,RLP24
Mycth_11798,
Mycth_12171,IVY1
Mycth_122893,MATALPHA2
Mycth_122939,ERG26
Mycth_12812,
Mycth_13170,
Mycth_140260,GSC2
Mycth_140261,
Mycth_14609,YLR132C
Mycth_15682,
Mycth_15789,
Mycth_16152,
Mycth_16224,YTH1
Mycth_16301,
Mycth_16353,
Mycth_17263,
Mycth_17562,
Mycth_17585,
Mycth_17759,
Mycth_18938,MDR1
Mycth_19035,
Mycth_2018629,
Mycth_2018746,
Mycth_2019108,
Mycth_2019141,
Mycth_2019371,
Mycth_2019378,
Mycth_2019397,
Mycth_2019739,
Mycth_2019888,
Mycth_2020046,
Mycth_2020422,
Mycth_2020707,
Mycth_2020741,
Mycth_2022110,
Mycth_2022424,
Mycth_2022670,MCH4
Mycth_2023079,
Mycth_2023245,
Mycth_2023927,
Mycth_2023929,
Mycth_2024024,
Mycth_2024695,
Mycth_2025277,YPL225W
Mycth_2025626,
Mycth_2025813,
Mycth_2025957,
Mycth_2026083,
Mycth_2026137,
Mycth_2026172,
Mycth_2027194,
Mycth_2028011,
Mycth_2028710,
Mycth_2028839,
Mycth_2029285,
Mycth_2029356,
Mycth_2029593,
Mycth_2029812,
Mycth_2029952,RIB5
Mycth_2030078,
Mycth_2030361,QDR1
Mycth_2030430,
Mycth_2030495,
Mycth_2030723,
Mycth_2030873,
Mycth_2031061,
Mycth_2031268,
Mycth_2031276,
Mycth_2031317,
Mycth_2031554,
Mycth_2031594,ARR3
Mycth_2031920,
Mycth_2031956,
Mycth_2032045,
Mycth_2032127,
Mycth_2032303,
Mycth_2032845,
Mycth_2032939,
Mycth_2033463,
Mycth_2033959,
Mycth_2033977,RPL40B
Mycth_2033980,
Mycth_2034916,
Mycth_2034929,CBP3
Mycth_2034994,RRI1
Mycth_2035048,
Mycth_2035386,
Mycth_2035523,
Mycth_2035701,RPA12
Mycth_2035984,MCH4
Mycth_2036106,
Mycth_2036258,RPC19
Mycth_20364,KEL3
Mycth_2036724,
Mycth_2037019,PEX4
Mycth_2037035,YEH2
Mycth_2037146,
Mycth_2037236,FMP43
Mycth_2037479,BAS1
Mycth_2037651,
Mycth_2037656,
Mycth_2038181,
Mycth_2038387,
Mycth_2038764,
Mycth_2039088,
Mycth_2039751,
Mycth_2039818,RPS17B
Mycth_2039926,
Mycth_2039938,
Mycth_2040280,
Mycth_2040301,
Mycth_2040748,
Mycth_2040766,
Mycth_2041072,
Mycth_2041611,
Mycth_2042312,
Mycth_2042719,
Mycth_2042961,
Mycth_2043664,
Mycth_2043746,YGR109W-B
Mycth_2044135,
Mycth_2044732,
Mycth_2045079,
Mycth_2045175,
Mycth_2045420,
Mycth_2045737,QDR2
Mycth_2046198,
Mycth_2046242,
Mycth_2046354,
Mycth_2046431,YGL010W
Mycth_2047322,
Mycth_2047945,
Mycth_2048131,
Mycth_2048823,
Mycth_2048966,YHC1
Mycth_2049011,ERG5
Mycth_2049292,
Mycth_2049301,IRC3
Mycth_2049318,URB1
Mycth_2049466,YDR286C
Mycth_2049580,
Mycth_2049605,
Mycth_2049620,MAK21
Mycth_2049706,
Mycth_2049780,YBT1
Mycth_2049865,
Mycth_2049886,
Mycth_2049934,MET7
Mycth_2049971,
Mycth_2050031,YSA1
Mycth_2050101,
Mycth_2050200,
Mycth_2050220,YJR141W
Mycth_2050269,YGR109W-B
Mycth_2050335,
Mycth_2050348,LSM7
Mycth_2050447,
Mycth_2050467,
Mycth_2050486,
Mycth_2050514,NSE4
Mycth_2050561,
Mycth_2050660,RPN11
Mycth_2050741,EOS1
Mycth_2050866,
Mycth_2050929,SDT1
Mycth_2050951,MET22
Mycth_2050974,
Mycth_2050996,SPC105
Mycth_2051009,CAT8
Mycth_2051026,PRP40
Mycth_2051156,
Mycth_2051168,JLP1
Mycth_2051209,
Mycth_2051335,
Mycth_2051357,ARO1
Mycth_2051392,
Mycth_2051419,STE20
Mycth_2051606,MCH4
Mycth_2051636,
Mycth_2051640,ECM29
Mycth_2051705,GOS1
Mycth_2051745,RTT10
Mycth_2051835,ARV1
Mycth_2051955,
Mycth_2051994,
Mycth_2052150,
Mycth_2052169,
Mycth_2052313,YGR109W-B
Mycth_2052357,PSO2
Mycth_2052384,
Mycth_2052439,
Mycth_2052509,
Mycth_2052590,
Mycth_2052653,OPI10
Mycth_2052657,
Mycth_2052693,
Mycth_2052727,
Mycth_2052748,
Mycth_2052762,
Mycth_2052991,
Mycth_2053048,
Mycth_2053130,
Mycth_2053143,YGR109W-B
Mycth_2053156,
Mycth_2053230,
Mycth_2053430,TPO2
Mycth_2053489,
Mycth_2053528,
Mycth_2053555,
Mycth_2053582,
Mycth_2053587,
Mycth_2053677,PEX12
Mycth_2053975,
Mycth_2054051,YIL082W-A
Mycth_2054076,
Mycth_2054138,
Mycth_2054145,APC5
Mycth_2054177,
Mycth_2054216,
Mycth_2054219,
Mycth_2054232,
Mycth_2054249,YDR248C
Mycth_2054417,
Mycth_2054491,APS2
Mycth_2054510,
Mycth_2054541,YSF3
Mycth_2054555,
Mycth_2054578,
Mycth_2054613,
Mycth_2054788,
Mycth_2054820,APA2
Mycth_2054970,YGR109W-B
Mycth_2054998,
Mycth_2055104,
Mycth_2055144,PAB1
Mycth_2055207,
Mycth_2055311,UBP13
Mycth_2055546,
Mycth_2055557,
Mycth_2055571,
Mycth_2055575,
Mycth_2055617,
Mycth_2055659,PUP3
Mycth_2055700,ARG8
Mycth_2055845,GAP1
Mycth_2055941,
Mycth_2055951,
Mycth_2055981,
Mycth_2055988,
Mycth_2056182,YIL082W-A
Mycth_2056315,
Mycth_2056329,
Mycth_2056455,
Mycth_2056582,
Mycth_2056896,YAR1
Mycth_2057017,
Mycth_2057132,
Mycth_2057198,
Mycth_2057234,
Mycth_2057284,PRP6
Mycth_2057317,
Mycth_2057386,GAL2
Mycth_2057433,FES1
Mycth_2057467,
Mycth_2057540,
Mycth_2057586,
Mycth_2057697,
Mycth_2057781,
Mycth_2057810,
Mycth_2057851,
Mycth_2057861,FAP7
Mycth_2057906,PGU1
Mycth_2057956,SPS1
Mycth_2057978,
Mycth_2058054,
Mycth_2058064,PCS60
Mycth_2058169,
Mycth_2058204,YLR099W-A
Mycth_2058263,PUT3
Mycth_2058328,
Mycth_2058345,
Mycth_2058349,
Mycth_2058462,
Mycth_2058464,
Mycth_2058513,
Mycth_2058544,
Mycth_2058549,VPS55
Mycth_2058599,YIL080W
Mycth_2058620,SWS2
Mycth_2058658,ECM16
Mycth_2058711,
Mycth_2058752,
Mycth_2058793,
Mycth_2058820,
Mycth_2058974,YPL260W
Mycth_2059010,AIM2
Mycth_2059044,
Mycth_2059134,APP1
Mycth_2059186,
Mycth_2059212,
Mycth_2059227,YML6
Mycth_2059229,FCF1
Mycth_2059249,FCY22
Mycth_2059277,RCK2
Mycth_2059413,
Mycth_2059428,VBA5
Mycth_2059558,
Mycth_2059579,
Mycth_2059686,YCF1
Mycth_2059724,YGR109W-B
Mycth_2059769,
Mycth_2059795,
Mycth_2059803,YPR117W
Mycth_2059965,
Mycth_2060008,FMO1
Mycth_2060065,ERG5
Mycth_2060085,
Mycth_2060093,PUS7
Mycth_2060145,
Mycth_2060153,TTI1
Mycth_2060198,
Mycth_2060218,
Mycth_2060238,
Mycth_2060248,
Mycth_2060315,ERG11
Mycth_2060338,JLP1
Mycth_2060364,
Mycth_2060417,URB2
Mycth_2060432,
Mycth_2060437,
Mycth_2060442,YPR127W
Mycth_2060489,
Mycth_2060529,SOR2
Mycth_2060549,
Mycth_2060581,YIL082W-A
Mycth_2060623,
Mycth_2060641,
Mycth_2060682,
Mycth_2060683,
Mycth_2060709,
Mycth_2060712,
Mycth_2060757,TSC10
Mycth_2060854,YIL082W-A
Mycth_2060890,
Mycth_2060907,
Mycth_2060942,
Mycth_2060992,
Mycth_2061162,SWI5
Mycth_2061173,CTF18
Mycth_2061176,TIM13
Mycth_2061275,CDC5
Mycth_2061412,
Mycth_2061546,
Mycth_2061596,
Mycth_2061639,
Mycth_2061764,
Mycth_2061788,
Mycth_2061829,POL1
Mycth_2061852,
Mycth_2061855,
Mycth_2061857,PCA1
Mycth_2061987,
Mycth_2062045,
Mycth_2062055,CRH1
Mycth_2062106,
Mycth_2062163,
Mycth_2062179,LAA1
Mycth_2062193,
Mycth_2062214,
Mycth_2062247,
Mycth_2062265,LDB19
Mycth_2062291,
Mycth_2062435,
Mycth_2062582,
Mycth_2062613,PZF1
Mycth_2062645,
Mycth_2062716,
Mycth_2062719,
Mycth_2062826,CBC2
Mycth_2062887,RPL7A
Mycth_2062976,
Mycth_2063030,RDR1
Mycth_2063083,
Mycth_2063115,
Mycth_2063133,FET3
Mycth_2063165,
Mycth_2063204,DIT2
Mycth_2063233,
Mycth_2063277,CAP1
Mycth_2063325,
Mycth_2063330,
Mycth_2063376,
Mycth_2063420,YPR011C
Mycth_2063443,
Mycth_2063480,
Mycth_2063555,
Mycth_2063591,
Mycth_2063631,
Mycth_2063736,YPK2
Mycth_2063758,VPS25
Mycth_2063854,SEO1
Mycth_2063953,
Mycth_2063966,
Mycth_2064081,
Mycth_2064169,
Mycth_2064311,
Mycth_2064312,
Mycth_2064349,RPS7A
Mycth_2064467,
Mycth_2064480,
Mycth_2064545,
Mycth_2064601,NNT1
Mycth_2064609,
Mycth_2064613,
Mycth_2064631,TNA1
Mycth_2064750,
Mycth_2064786,
Mycth_2064798,SEO1
Mycth_2064803,SPS19
Mycth_2064824,
Mycth_2064829,
Mycth_2064854,CEF1
Mycth_2064865,
Mycth_2064870,
Mycth_2064932,
Mycth_2064957,
Mycth_2064976,
Mycth_2064998,
Mycth_2065104,FMP30
Mycth_2065208,
Mycth_2065222,YDL218W
Mycth_2065241,YJR054W
Mycth_2065250,YGR109W-B
Mycth_2065257,MCH4
Mycth_2065342,
Mycth_2065457,
Mycth_2065465,
Mycth_2065658,
Mycth_2065690,DUN1
Mycth_2065691,
Mycth_2065718,
Mycth_2065741,
Mycth_2065743,
Mycth_2065797,PEP4
Mycth_2065815,YGR109W-B
Mycth_2065824,YOL114C
Mycth_2065851,
Mycth_2066181,YFL052W
Mycth_2066192,
Mycth_2066229,
Mycth_2066239,AHP1
Mycth_2066269,
Mycth_2066278,
Mycth_2066299,
Mycth_2066367,
Mycth_2066447,
Mycth_2066457,
Mycth_2066475,YNR064C
Mycth_2066477,
Mycth_2066488,ECM32
Mycth_2066622,FRE3
Mycth_2066662,
Mycth_2066697,CDC19
Mycth_2066841,IME2
Mycth_2066922,YGR109W-B
Mycth_2066939,
Mycth_2067021,NAT4
Mycth_2067028,
Mycth_2067066,
Mycth_2067101,
Mycth_2067166,SKP1
Mycth_2067168,
Mycth_2067210,IRC21
Mycth_2067244,ASG1
Mycth_2067245,
Mycth_2067358,
Mycth_2067387,
Mycth_2067418,INM2
Mycth_2067426,
Mycth_2067458,
Mycth_2067470,ORT1
Mycth_2067496,
Mycth_2067533,
Mycth_2067613,SHM2
Mycth_2067632,
Mycth_2067689,CDC19
Mycth_2067725,HEM4
Mycth_2067839,ZPS1
Mycth_2067869,ATG4
Mycth_2067902,
Mycth_2067913,
Mycth_2067982,
Mycth_2068129,YEL023C
Mycth_2068188,
Mycth_2068307,
Mycth_2068390,
Mycth_2068429,
Mycth_2068493,FOL1
Mycth_2068637,
Mycth_2068645,
Mycth_2068755,CDA1
Mycth_2068800,
Mycth_2068812,EMC4
Mycth_2068912,
Mycth_2068961,
Mycth_2068997,
Mycth_2069012,
Mycth_2069029,
Mycth_2069031,
Mycth_2069072,
Mycth_2069148,
Mycth_2069159,MUP1
Mycth_2069178,
Mycth_2069203,BBC1
Mycth_2069205,YJR107W
Mycth_2069219,YGR109W-B
Mycth_2069347,DIE2
Mycth_2069363,
Mycth_2069453,YGR109W-B
Mycth_2069574,HIS2
Mycth_2069662,
Mycth_2069697,PMP3
Mycth_2069736,ZTA1
Mycth_2069804,
Mycth_2069815,
Mycth_2069839,DDI3
Mycth_2069908,
Mycth_2069956,
Mycth_2070001,
Mycth_2070048,
Mycth_2070109,
Mycth_2070186,
Mycth_2070221,ULS1
Mycth_2070352,
Mycth_2070469,
Mycth_2070514,
Mycth_2070572,ASG1
Mycth_2070581,ROX1
Mycth_2070655,RPC17
Mycth_2070700,
Mycth_2070790,ECM22
Mycth_2070850,
Mycth_2070868,
Mycth_2070870,
Mycth_2070906,
Mycth_2070971,JLP2
Mycth_2070984,CHS7
Mycth_2071028,
Mycth_2071057,
Mycth_2071098,
Mycth_2071169,HHF2
Mycth_2071198,
Mycth_2071219,
Mycth_2071270,
Mycth_2071285,
Mycth_2071301,HSL7
Mycth_2071385,
Mycth_2071402,
Mycth_2071423,CYC8
Mycth_2071504,
Mycth_2071510,
Mycth_2071514,
Mycth_2071531,
Mycth_2071561,
Mycth_2071579,
Mycth_2071628,
Mycth_2071661,
Mycth_2071684,
Mycth_2071736,
Mycth_2071899,
Mycth_2071905,DBR1
Mycth_2071908,
Mycth_2071953,YLR154W-A
Mycth_2071955,
Mycth_2071996,
Mycth_2072063,MCH4
Mycth_2072093,YPS3
Mycth_2072228,
Mycth_2072383,
Mycth_2072388,
Mycth_2072459,
Mycth_2072527,
Mycth_2072543,
Mycth_2072733,SGS1
Mycth_2072958,
Mycth_2073127,SBH2
Mycth_2073132,SDS22
Mycth_2073197,CDC42
Mycth_2073265,PCL5
Mycth_2073485,MSC2
Mycth_2073591,PPH21
Mycth_2073656,RAD6
Mycth_2074077,RRN7
Mycth_2074154,YPR022C
Mycth_2074176,FRQ1
Mycth_2074210,
Mycth_2074326,
Mycth_2074408,ESS1
Mycth_2074571,
Mycth_2074663,RAX1
Mycth_2074790,AIM38
Mycth_2074876,RAD6
Mycth_2074905,ZWF1
Mycth_2075102,GCD11
Mycth_2075489,RPL11B
Mycth_2075498,TRX1
Mycth_2075565,
Mycth_2075738,
Mycth_2075799,MSD1
Mycth_2075999,ARO3
Mycth_2076088,RIB4
Mycth_2076157,SFT2
Mycth_2076293,
Mycth_2076503,RPT4
Mycth_2076551,
Mycth_2076744,
Mycth_2076770,
Mycth_2076935,
Mycth_2076976,MAL31
Mycth_2077028,MAF1
Mycth_2077114,
Mycth_2077534,
Mycth_2077546,
Mycth_2077636,TPK1
Mycth_2077803,RHB1
Mycth_2077843,YJL055W
Mycth_2077959,TEM1
Mycth_2078031,MRPL1
Mycth_2078041,RRP15
Mycth_2078128,ADE8
Mycth_2078150,
Mycth_2078193,
Mycth_2078222,
Mycth_2078660,MRPL20
Mycth_2078767,DJP1
Mycth_2079066,CHS7
Mycth_2079097,UTR2
Mycth_2079474,
Mycth_2079758,SEC3
Mycth_2079764,DFG10
Mycth_2079768,ATP16
Mycth_2079774,SAR1
Mycth_2079848,
Mycth_2079850,
Mycth_2079857,GTR2
Mycth_2079864,TIM23
Mycth_2079868,
Mycth_2079898,ARL3
Mycth_2080003,TIF3
Mycth_2080045,TOM22
Mycth_2080075,LCB2
Mycth_2080102,TPD3
Mycth_2080506,CYS4
Mycth_2080603,LAT1
Mycth_2080800,APC1
Mycth_2080826,EFM1
Mycth_2080893,TPO1
Mycth_2081074,MOT2
Mycth_2081200,CYB5
Mycth_2081249,DBP9
Mycth_2081294,
Mycth_2081549,
Mycth_2081554,ODC2
Mycth_2081599,YIP1
Mycth_2081821,ERP6
Mycth_2081891,VMA10
Mycth_2081895,
Mycth_2082040,
Mycth_2082154,MRP10
Mycth_2082262,TPS1
Mycth_2082283,GAL10
Mycth_2082522,
Mycth_2082794,
Mycth_2082917,KGD2
Mycth_2083273,
Mycth_2083946,DNF3
Mycth_2084007,SNX3
Mycth_2084107,
Mycth_2084160,
Mycth_2084256,RPT6
Mycth_2084292,
Mycth_2084467,SPB4
Mycth_2084531,GLR1
Mycth_2084627,RPN8
Mycth_2084695,
Mycth_2084736,
Mycth_2084777,
Mycth_2085008,
Mycth_2085059,ILV6
Mycth_2085328,
Mycth_2085453,
Mycth_2085599,
Mycth_2085772,
Mycth_2085895,CAB2
Mycth_2085975,GDT1
Mycth_2086155,SET2
Mycth_2086212,TOA2
Mycth_2086248,
Mycth_2086391,SSC1
Mycth_2086451,MLH1
Mycth_2086470,MRP20
Mycth_2086520,CDC3
Mycth_2086714,
Mycth_2086729,YMR262W
Mycth_2086739,
Mycth_2086765,
Mycth_2086777,VMA7
Mycth_2086920,
Mycth_2086957,SVF1
Mycth_2087011,
Mycth_2087100,ADE1
Mycth_2087157,
Mycth_2087238,
Mycth_2087375,
Mycth_2087474,HTS1
Mycth_2087521,VMA21
Mycth_2087754,
Mycth_2087774,
Mycth_2087807,ROT2
Mycth_2087998,NAM8
Mycth_2088056,JEM1
Mycth_2088086,ATP1
Mycth_2088125,RET3
Mycth_2088191,CAP2
Mycth_2088202,PIL1
Mycth_2088290,YDJ1
Mycth_2088454,LYS1
Mycth_2088473,RPS11A
Mycth_2088766,
Mycth_2088816,STT3
Mycth_2088876,RCL1
Mycth_2088965,YDC1
Mycth_2089049,LCL3
Mycth_2089137,
Mycth_2089163,RSA4
Mycth_2089183,TEA1
Mycth_2089196,
Mycth_2089248,TRX1
Mycth_2089267,SSQ1
Mycth_2089286,
Mycth_2089545,SPS19
Mycth_2089588,
Mycth_2089610,
Mycth_2089701,
Mycth_2089733,
Mycth_2089819,
Mycth_2089827,ERV25
Mycth_2089843,
Mycth_2089931,
Mycth_2089975,
Mycth_2090056,CBF5
Mycth_2090061,NTA1
Mycth_2090388,MRPL35
Mycth_2090403,
Mycth_2090548,CDC34
Mycth_2090554,GDH1
Mycth_2090568,TPM2
Mycth_2090577,VMA1
Mycth_2090608,
Mycth_2090611,MUP1
Mycth_2090680,POL12
Mycth_2090891,
Mycth_2090897,
Mycth_2090929,
Mycth_2090930,MRPL36
Mycth_2091001,MRPS9
Mycth_2091453,NHP2
Mycth_2091473,QCR7
Mycth_2091486,PCS60
Mycth_2091488,SCS2
Mycth_2091570,YML018C
Mycth_2091689,MRP17
Mycth_2091974,TRS33
Mycth_2091985,
Mycth_2092086,SUR2
Mycth_2092214,YPR098C
Mycth_2092294,
Mycth_2092357,
Mycth_2092438,RDS3
Mycth_2092577,ARL1
Mycth_2092688,ACS1
Mycth_2092861,
Mycth_2093040,MUP1
Mycth_2093073,NIP7
Mycth_2093133,
Mycth_2093327,
Mycth_2093591,
Mycth_2093728,VPS27
Mycth_2093740,REI1
Mycth_2093808,PEX14
Mycth_2094032,OPI3
Mycth_2094250,
Mycth_2094324,
Mycth_2094326,SAM50
Mycth_2094591,YLR460C
Mycth_2094697,MTC1
Mycth_2094824,
Mycth_2094933,CCT7
Mycth_2095026,
Mycth_2095112,HNT1
Mycth_2095122,LCB1
Mycth_2095162,TMA16
Mycth_2095260,RPT3
Mycth_2095291,
Mycth_2095369,TNA1
Mycth_2095444,
Mycth_2095451,PRX1
Mycth_2095534,
Mycth_2095610,FUS3
Mycth_2095639,
Mycth_2095744,
Mycth_2095899,
Mycth_2095925,UMP1
Mycth_2096067,DCS1
Mycth_2096092,SPO14
Mycth_2096131,BDF2
Mycth_2096246,EMP70
Mycth_2096307,PLM2
Mycth_2096317,COQ2
Mycth_2096341,MRPS12
