up:G2Q701,mtm:MYCTH_100011
up:G2QK85,mtm:MYCTH_10609
up:G2Q3P9,mtm:MYCTH_106293
up:G2Q487,mtm:MYCTH_106343
up:G2Q497,mtm:MYCTH_106346
up:G2Q556,mtm:MYCTH_106388
up:G2Q626,mtm:MYCTH_106442
up:G2Q6H2,mtm:MYCTH_106463
up:G2Q9A4,mtm:MYCTH_106502
up:G2Q910,mtm:MYCTH_106527
up:G2Q8C3,mtm:MYCTH_106599
up:G2Q8A8,mtm:MYCTH_106609
up:G2Q842,mtm:MYCTH_106618
up:G2QAX0,mtm:MYCTH_106768
up:G2QAL8,mtm:MYCTH_106798
up:G2QAD1,mtm:MYCTH_106819
up:G2QAB3,mtm:MYCTH_106827
up:G2Q9E5,mtm:MYCTH_106950
up:G2Q7X4,mtm:MYCTH_107095
up:G2QJ24,mtm:MYCTH_10713
up:G2Q7K2,mtm:MYCTH_107134
up:G2Q7D5,mtm:MYCTH_107142
up:G2Q791,mtm:MYCTH_107168
up:G2QB45,mtm:MYCTH_107178
up:G2QB19,mtm:MYCTH_107186
up:G2QAF1,mtm:MYCTH_107255
up:G2QDP9,mtm:MYCTH_107295
up:G2QBR1,mtm:MYCTH_107458
up:G2QBH6,mtm:MYCTH_107520
up:G2QEN1,mtm:MYCTH_107580
up:G2QE38,mtm:MYCTH_107689
up:G2QDU7,mtm:MYCTH_107723
up:G2QDI0,mtm:MYCTH_107763
up:G2QD73,mtm:MYCTH_107796
up:G2QCJ9,mtm:MYCTH_107866
up:G2QC98,mtm:MYCTH_107891
up:G2QG85,mtm:MYCTH_107972
up:G2QG73,mtm:MYCTH_107976
up:G2QFF3,mtm:MYCTH_108044
up:G2QFB9,mtm:MYCTH_108061
up:G2QF45,mtm:MYCTH_108098
up:G2QF06,mtm:MYCTH_108115
up:G2QET8,mtm:MYCTH_108157
up:G2QH81,mtm:MYCTH_108294
up:G2QH64,mtm:MYCTH_108304
up:G2QH40,mtm:MYCTH_108314
up:G2QH37,mtm:MYCTH_108317
up:G2QG57,mtm:MYCTH_108391
up:G2QFV3,mtm:MYCTH_108407
up:G2QFS7,mtm:MYCTH_108416
up:G2QIF6,mtm:MYCTH_108475
up:G2QI85,mtm:MYCTH_108493
up:G2QI72,mtm:MYCTH_108501
up:G2QI67,mtm:MYCTH_108504
up:G2QHX3,mtm:MYCTH_108565
up:G2QKG1,mtm:MYCTH_108615
up:G2QKC6,mtm:MYCTH_108627
up:G2QJM9,mtm:MYCTH_108765
up:G2QJI5,mtm:MYCTH_108781
up:G2QJ45,mtm:MYCTH_108836
up:G2QIH1,mtm:MYCTH_108890
up:G2QNU4,mtm:MYCTH_108924
up:G2QN17,mtm:MYCTH_109046
up:G2QMX3,mtm:MYCTH_109078
up:G2QPY6,mtm:MYCTH_109194
up:G2QPR3,mtm:MYCTH_109232
up:G2QNS7,mtm:MYCTH_109373
up:G2QNR6,mtm:MYCTH_109377
up:G2QKQ0,mtm:MYCTH_109444
up:G2PZL9,mtm:MYCTH_109499
up:G2PZH9,mtm:MYCTH_109510
up:G2Q752,mtm:MYCTH_109530
up:G2Q750,mtm:MYCTH_109533
up:G2Q737,mtm:MYCTH_109542
up:G2Q665,mtm:MYCTH_109566
up:G2Q4V4,mtm:MYCTH_109620
up:G2Q4E2,mtm:MYCTH_109638
up:G2Q203,mtm:MYCTH_109756
up:G2QLY8,mtm:MYCTH_109790
up:G2QLX9,mtm:MYCTH_109795
up:G2QLT4,mtm:MYCTH_109817
up:G2QLS9,mtm:MYCTH_109821
up:G2QLF3,mtm:MYCTH_109870
up:G2QLD7,mtm:MYCTH_109876
up:G2QL79,mtm:MYCTH_109897
up:G2QL20,mtm:MYCTH_109914
up:G2QEV4,mtm:MYCTH_10995
up:G2Q123,mtm:MYCTH_109978
up:G2QM91,mtm:MYCTH_110022
up:G2QMC4,mtm:MYCTH_110028
up:G2QMG0,mtm:MYCTH_110038
up:G2QMH8,mtm:MYCTH_110042
up:G2QML8,mtm:MYCTH_110061
up:G2Q264,mtm:MYCTH_110187
up:G2Q4G3,mtm:MYCTH_110298
up:G2Q4X7,mtm:MYCTH_110317
up:G2Q114,mtm:MYCTH_110470
up:G2Q1D1,mtm:MYCTH_110475
up:G2Q1W6,mtm:MYCTH_110510
up:G2Q1Z4,mtm:MYCTH_110532
up:G2Q2B3,mtm:MYCTH_110536
up:G2Q486,mtm:MYCTH_110640
up:G2Q4M0,mtm:MYCTH_110651
up:G2Q529,mtm:MYCTH_110670
up:G2Q536,mtm:MYCTH_110674
up:G2Q621,mtm:MYCTH_110717
up:G2Q922,mtm:MYCTH_110792
up:G2Q8R8,mtm:MYCTH_110806
up:G2Q8N2,mtm:MYCTH_110817
up:G2Q8M4,mtm:MYCTH_110821
up:G2Q804,mtm:MYCTH_110871
up:G2Q7H9,mtm:MYCTH_110897
up:G2QB71,mtm:MYCTH_110931
up:G2QAY0,mtm:MYCTH_110951
up:G2QAX1,mtm:MYCTH_110956
up:G2QA01,mtm:MYCTH_111030
up:G2Q9Z6,mtm:MYCTH_111035
up:G2Q9Z5,mtm:MYCTH_111036
up:G2Q9L1,mtm:MYCTH_111073
up:G2Q9F7,mtm:MYCTH_111088
up:G2Q9C3,mtm:MYCTH_111107
up:G2Q8G6,mtm:MYCTH_111172
up:G2Q8G3,mtm:MYCTH_111173
up:G2Q7P5,mtm:MYCTH_111214
up:G2QA66,mtm:MYCTH_111314
up:G2QDY8,mtm:MYCTH_111331
up:G2QCS4,mtm:MYCTH_111372
up:G2QCJ0,mtm:MYCTH_111377
up:O74240,mtm:MYCTH_111388
up:G2QC80,mtm:MYCTH_111405
up:G2QBY3,mtm:MYCTH_111425
up:G2QE39,mtm:MYCTH_111604
up:G2QDJ5,mtm:MYCTH_111645
up:G2QBS9,mtm:MYCTH_111741
up:G2QGJ3,mtm:MYCTH_111770
up:G2QFM8,mtm:MYCTH_111814
up:G2QF95,mtm:MYCTH_111845
up:G2QHK8,mtm:MYCTH_111934
up:G2QH60,mtm:MYCTH_111987
up:G2QGG1,mtm:MYCTH_112014
up:G2QGB9,mtm:MYCTH_112025
up:G2QJ91,mtm:MYCTH_112050
up:G2QJ81,mtm:MYCTH_112051
up:G2QIE0,mtm:MYCTH_112080
up:G2QI92,mtm:MYCTH_112086
up:G2QI82,mtm:MYCTH_112089
up:G2QI16,mtm:MYCTH_112121
up:G2QHY7,mtm:MYCTH_112136
up:G2QHY6,mtm:MYCTH_112137
up:G2QHV0,mtm:MYCTH_112159
up:G2QK84,mtm:MYCTH_112204
up:G2QK19,mtm:MYCTH_112227
up:G2QJC9,mtm:MYCTH_112306
up:G2QJ43,mtm:MYCTH_112322
up:G2QJ34,mtm:MYCTH_112329
up:G2QII4,mtm:MYCTH_112362
up:G2QII3,mtm:MYCTH_112363
up:G2QNK3,mtm:MYCTH_112399
up:G2QNG8,mtm:MYCTH_112411
up:G2QN68,mtm:MYCTH_112442
up:G2QN15,mtm:MYCTH_112471
up:G2QQH6,mtm:MYCTH_112491
up:G2QQF7,mtm:MYCTH_112498
up:G2QPP7,mtm:MYCTH_112612
up:G2QNZ9,mtm:MYCTH_112686
up:G2QNQ5,mtm:MYCTH_112699
up:G2QNQ1,mtm:MYCTH_112700
up:G2QKX5,mtm:MYCTH_112714
up:G2QKW8,mtm:MYCTH_112716
up:G2PZL8,mtm:MYCTH_112802
up:G2PZL5,mtm:MYCTH_112805
up:G2PZJ7,mtm:MYCTH_112815
up:G2Q781,mtm:MYCTH_112824
up:G2Q779,mtm:MYCTH_112826
up:G2Q747,mtm:MYCTH_112850
up:G2Q6I8,mtm:MYCTH_112889
up:G2Q643,mtm:MYCTH_112905
up:G2Q5R4,mtm:MYCTH_112916
up:G2Q5Q1,mtm:MYCTH_112924
up:G2Q4S0,mtm:MYCTH_112996
up:G2Q3G8,mtm:MYCTH_113066
up:G2Q2J2,mtm:MYCTH_113138
up:G2QLX4,mtm:MYCTH_113236
up:G2QLX2,mtm:MYCTH_113239
up:G2QL54,mtm:MYCTH_113387
up:G2Q027,mtm:MYCTH_113450
up:G2Q040,mtm:MYCTH_113457
up:G2QMG2,mtm:MYCTH_113577
up:G2QMK6,mtm:MYCTH_113600
up:G2Q0R8,mtm:MYCTH_113715
up:G2Q327,mtm:MYCTH_113886
up:G2Q363,mtm:MYCTH_113912
up:G2Q4F4,mtm:MYCTH_113985
up:G2Q4J0,mtm:MYCTH_114008
up:G2Q5V0,mtm:MYCTH_114083
up:G2Q6B1,mtm:MYCTH_114107
up:G2PZW3,mtm:MYCTH_114166
up:G2Q106,mtm:MYCTH_114237
up:G2Q2U1,mtm:MYCTH_114376
up:G2Q480,mtm:MYCTH_114482
up:G2Q4L9,mtm:MYCTH_114497
up:G2Q9A7,mtm:MYCTH_114666
up:G2Q9A6,mtm:MYCTH_114667
up:G2Q988,mtm:MYCTH_114678
up:G2Q912,mtm:MYCTH_114691
up:G2Q8Q4,mtm:MYCTH_114710
up:G2Q8M0,mtm:MYCTH_114734
up:G2Q8G0,mtm:MYCTH_114738
up:G2Q812,mtm:MYCTH_114796
up:G2QAN0,mtm:MYCTH_114955
up:G2Q9X5,mtm:MYCTH_115028
up:G2Q9R1,mtm:MYCTH_115052
up:G2Q9I5,mtm:MYCTH_115096
up:G2Q9E7,mtm:MYCTH_115110
up:G2Q8L0,mtm:MYCTH_115198
up:G2QDC8,mtm:MYCTH_115501
up:G2QBV0,mtm:MYCTH_115624
up:G2QEP5,mtm:MYCTH_115754
up:G2QEF3,mtm:MYCTH_115802
up:G2QE71,mtm:MYCTH_115858
up:G2QE26,mtm:MYCTH_115886
up:G2QDW1,mtm:MYCTH_115909
up:G2QDL0,mtm:MYCTH_115935
up:G2QDK0,mtm:MYCTH_115944
up:G2QDH1,mtm:MYCTH_115957
up:G2QD93,mtm:MYCTH_115968
up:G2QD72,mtm:MYCTH_115983
up:G2QCY7,mtm:MYCTH_116006
up:G2QCW2,mtm:MYCTH_116020
up:G2QGA1,mtm:MYCTH_116157
up:G2QFY5,mtm:MYCTH_116175
up:G2QFF7,mtm:MYCTH_116237
up:G2QFA9,mtm:MYCTH_116261
up:G2QEZ1,mtm:MYCTH_116322
up:G2QEV3,mtm:MYCTH_116348
up:G2QET2,mtm:MYCTH_116363
up:G2QHR7,mtm:MYCTH_116384
up:G2QH62,mtm:MYCTH_116510
up:G2QGN6,mtm:MYCTH_116553
up:G2QH36,mtm:MYCTH_11658
up:G2QFV5,mtm:MYCTH_116603
up:G2QJ96,mtm:MYCTH_116629
up:G2QID3,mtm:MYCTH_116679
up:G2QK47,mtm:MYCTH_116881
up:G2QK37,mtm:MYCTH_116885
up:G2QJR2,mtm:MYCTH_116956
up:G2QIU0,mtm:MYCTH_117063
up:G2QIS5,mtm:MYCTH_117073
up:G2QNM1,mtm:MYCTH_117145
up:G2QNL7,mtm:MYCTH_117146
up:G2QNK8,mtm:MYCTH_117150
up:G2QN96,mtm:MYCTH_117206
up:G2QN91,mtm:MYCTH_117209
up:G2QN41,mtm:MYCTH_117245
up:G2QPZ6,mtm:MYCTH_117406
up:G2QPV9,mtm:MYCTH_117428
up:G2QPU8,mtm:MYCTH_117436
up:G2QPL5,mtm:MYCTH_117478
up:G2QPI0,mtm:MYCTH_117495
up:G2QKY9,mtm:MYCTH_117620
up:G2QKX0,mtm:MYCTH_117625
up:G2QKP1,mtm:MYCTH_117681
up:G2QI87,mtm:MYCTH_11798
up:G2Q0P5,mtm:MYCTH_12171
up:G2Q4S8,mtm:MYCTH_122893
up:G2Q2U8,mtm:MYCTH_122939
up:G2Q8Q3,mtm:MYCTH_12812
up:G2QGT5,mtm:MYCTH_13170
up:G2QJY7,mtm:MYCTH_140260
up:G2QMP5,mtm:MYCTH_140261
up:G2Q1Q4,mtm:MYCTH_14609
up:G2QNQ2,mtm:MYCTH_15682
up:G2QH24,mtm:MYCTH_15789
up:G2QIJ2,mtm:MYCTH_16152
up:G2Q1C2,mtm:MYCTH_16224
up:G2QGM0,mtm:MYCTH_16301
up:G2QBF0,mtm:MYCTH_16353
up:G2QQB8,mtm:MYCTH_17263
up:G2QPT2,mtm:MYCTH_17562
up:G2QHJ6,mtm:MYCTH_17585
up:G2QGS3,mtm:MYCTH_17759
up:G2QPJ4,mtm:MYCTH_18938
up:G2QNI4,mtm:MYCTH_19035
up:G2QEI1,mtm:MYCTH_2018629
up:G2QJ59,mtm:MYCTH_2018746
up:G2Q1P8,mtm:MYCTH_2019108
up:G2QE25,mtm:MYCTH_2019141
up:G2QFC1,mtm:MYCTH_2019371
up:G2QC14,mtm:MYCTH_2019378
up:G2QMI7,mtm:MYCTH_2019397
up:G2Q8Y9,mtm:MYCTH_2019739
up:G2Q952,mtm:MYCTH_2019888
up:G2QFY7,mtm:MYCTH_2020046
up:G2Q2D9,mtm:MYCTH_2020422
up:G2Q5T9,mtm:MYCTH_2020707
up:G2QJV8,mtm:MYCTH_2020741
up:G2QC46,mtm:MYCTH_2022110
up:G2QAS8,mtm:MYCTH_2022424
up:G2QIE4,mtm:MYCTH_2022670
up:G2QB50,mtm:MYCTH_2023079
up:G2QGY3,mtm:MYCTH_2023245
up:G2QIF5,mtm:MYCTH_2023927
up:G2QJB1,mtm:MYCTH_2023929
up:G2Q894,mtm:MYCTH_2024024
up:G2QA89,mtm:MYCTH_2024695
up:G2QJR9,mtm:MYCTH_2025277
up:G2Q8Z1,mtm:MYCTH_2025626
up:G2QIT7,mtm:MYCTH_2025813
up:G2QF25,mtm:MYCTH_2025957
up:G2QIX2,mtm:MYCTH_2026083
up:G2QB41,mtm:MYCTH_2026137
up:G2QKH2,mtm:MYCTH_2026172
up:G2QJ12,mtm:MYCTH_2027194
up:G2Q1I0,mtm:MYCTH_2028011
up:G2Q3C2,mtm:MYCTH_2028710
up:G2QH93,mtm:MYCTH_2028839
up:G2Q059,mtm:MYCTH_2029285
up:G2QND8,mtm:MYCTH_2029356
up:G2Q2I6,mtm:MYCTH_2029593
up:G2Q9A0,mtm:MYCTH_2029812
up:G2Q6U1,mtm:MYCTH_2029952
up:G2QJK1,mtm:MYCTH_2030078
up:G2Q4Z2,mtm:MYCTH_2030361
up:G2QGK1,mtm:MYCTH_2030430
up:G2QN11,mtm:MYCTH_2030495
up:G2Q2U2,mtm:MYCTH_2030723
up:G2QBJ4,mtm:MYCTH_2030873
up:G2Q6C1,mtm:MYCTH_2031061
up:G2QPH1,mtm:MYCTH_2031268
up:G2QKE3,mtm:MYCTH_2031276
up:G2QJ37,mtm:MYCTH_2031317
up:G2Q6D9,mtm:MYCTH_2031554
up:G2Q0F6,mtm:MYCTH_2031594
up:G2QHU1,mtm:MYCTH_2031920
up:G2Q101,mtm:MYCTH_2031956
up:G2QB27,mtm:MYCTH_2032045
up:G2QHR4,mtm:MYCTH_2032127
up:G2Q7X0,mtm:MYCTH_2032303
up:G2Q8J5,mtm:MYCTH_2032845
up:G2QGA8,mtm:MYCTH_2032939
up:G2Q399,mtm:MYCTH_2033463
up:G2Q7Q4,mtm:MYCTH_2033959
up:G2Q584,mtm:MYCTH_2033977
up:G2Q521,mtm:MYCTH_2033980
up:G2QIK3,mtm:MYCTH_2034916
up:G2QE13,mtm:MYCTH_2034929
up:G2QBC1,mtm:MYCTH_2034994
up:G2QBT7,mtm:MYCTH_2035048
up:G2Q9J8,mtm:MYCTH_2035386
up:G2QHI1,mtm:MYCTH_2035523
up:G2Q4T1,mtm:MYCTH_2035701
up:G2Q0K7,mtm:MYCTH_2035984
up:G2QF89,mtm:MYCTH_2036106
up:G2QBX7,mtm:MYCTH_2036258
up:G2PZW7,mtm:MYCTH_20364
up:G2QFV4,mtm:MYCTH_2036724
up:G2Q280,mtm:MYCTH_2037019
up:G2Q286,mtm:MYCTH_2037035
up:G2Q3H7,mtm:MYCTH_2037146
up:G2Q628,mtm:MYCTH_2037236
up:G2QJ57,mtm:MYCTH_2037479
up:G2QCQ5,mtm:MYCTH_2037651
up:G2QGE6,mtm:MYCTH_2037656
up:G2QDJ1,mtm:MYCTH_2038181
up:G2Q3V9,mtm:MYCTH_2038387
up:G2QD46,mtm:MYCTH_2038764
up:G2Q4I2,mtm:MYCTH_2039088
up:G2Q6V7,mtm:MYCTH_2039751
up:G2QL70,mtm:MYCTH_2039818
up:G2QMK2,mtm:MYCTH_2039926
up:G2Q5T4,mtm:MYCTH_2039938
up:G2Q3K9,mtm:MYCTH_2040280
up:G2QIV7,mtm:MYCTH_2040301
up:G2QDE7,mtm:MYCTH_2040748
up:G2QDI7,mtm:MYCTH_2040766
up:G2Q1B4,mtm:MYCTH_2041072
up:G2QFW0,mtm:MYCTH_2041611
up:G2QF67,mtm:MYCTH_2042312
up:G2QML1,mtm:MYCTH_2042719
up:G2Q492,mtm:MYCTH_2042961
up:G2QCR0,mtm:MYCTH_2043664
up:G2QB35,mtm:MYCTH_2043746
up:G2QQH5,mtm:MYCTH_2044135
up:G2QFV9,mtm:MYCTH_2045079
up:G2QJP2,mtm:MYCTH_2045175
up:G2QIA3,mtm:MYCTH_2045420
up:G2Q742,mtm:MYCTH_2045737
up:G2QF53,mtm:MYCTH_2046198
up:G2QHD7,mtm:MYCTH_2046242
up:G2QMR0,mtm:MYCTH_2046354
up:G2Q388,mtm:MYCTH_2046431
up:G2QM43,mtm:MYCTH_2047322
up:G2QJT7,mtm:MYCTH_2047945
up:G2Q0P0,mtm:MYCTH_2048131
up:G2QA97,mtm:MYCTH_2048823
up:G2QB20,mtm:MYCTH_2048966
up:G2QDQ1,mtm:MYCTH_2049011
up:G2Q6J4,mtm:MYCTH_2049292
up:G2Q4U5,mtm:MYCTH_2049301
up:G2Q3U0,mtm:MYCTH_2049318
up:G2Q119,mtm:MYCTH_2049466
up:G2Q762,mtm:MYCTH_2049580
up:G2Q6W8,mtm:MYCTH_2049605
up:G2Q1X5,mtm:MYCTH_2049620
up:G2Q5L7,mtm:MYCTH_2049706
up:G2Q1U6,mtm:MYCTH_2049780
up:G2Q0C8,mtm:MYCTH_2049865
up:G2Q2M6,mtm:MYCTH_2049886
up:G2Q6Q5,mtm:MYCTH_2049934
up:G2Q778,mtm:MYCTH_2049971
up:G2Q547,mtm:MYCTH_2050031
up:G2Q4Y9,mtm:MYCTH_2050101
up:G2Q1C6,mtm:MYCTH_2050200
up:G2Q453,mtm:MYCTH_2050220
up:G2Q3K6,mtm:MYCTH_2050269
up:G2Q0A4,mtm:MYCTH_2050335
up:G2Q1J9,mtm:MYCTH_2050348
up:G2Q0E9,mtm:MYCTH_2050447
up:G2Q785,mtm:MYCTH_2050467
up:G2Q3D3,mtm:MYCTH_2050486
up:G2PZZ3,mtm:MYCTH_2050514
up:G2PZH8,mtm:MYCTH_2050561
up:G2Q4Y2,mtm:MYCTH_2050660
up:G2Q153,mtm:MYCTH_2050741
up:G2Q5U9,mtm:MYCTH_2050866
up:G2Q4V6,mtm:MYCTH_2050929
up:G2Q4W2,mtm:MYCTH_2050951
up:G2Q3B7,mtm:MYCTH_2050974
up:G2Q100,mtm:MYCTH_2050996
up:G2Q066,mtm:MYCTH_2051009
up:G2Q1E8,mtm:MYCTH_2051026
up:G2Q139,mtm:MYCTH_2051156
up:G2Q754,mtm:MYCTH_2051168
up:G2Q303,mtm:MYCTH_2051209
up:G2Q6P2,mtm:MYCTH_2051335
up:G2Q4U1,mtm:MYCTH_2051357
up:G2Q639,mtm:MYCTH_2051392
up:G2PZQ9,mtm:MYCTH_2051419
up:G2Q386,mtm:MYCTH_2051606
up:G2Q4W9,mtm:MYCTH_2051636
up:G2Q5D0,mtm:MYCTH_2051640
up:G2Q2T7,mtm:MYCTH_2051705
up:G2Q6T0,mtm:MYCTH_2051745
up:G2Q3Z2,mtm:MYCTH_2051835
up:G2PZL1,mtm:MYCTH_2051955
up:G2Q0C2,mtm:MYCTH_2051994
up:G2Q1Y8,mtm:MYCTH_2052150
up:G2Q666,mtm:MYCTH_2052169
up:G2Q776,mtm:MYCTH_2052313
up:G2Q464,mtm:MYCTH_2052357
up:G2PZR4,mtm:MYCTH_2052384
up:G2Q6F5,mtm:MYCTH_2052439
up:G2PZR6,mtm:MYCTH_2052509
up:G2Q048,mtm:MYCTH_2052590
up:G2Q310,mtm:MYCTH_2052653
up:G2Q765,mtm:MYCTH_2052657
up:G2Q3T7,mtm:MYCTH_2052693
up:G2PZL2,mtm:MYCTH_2052727
up:G2Q2F4,mtm:MYCTH_2052748
up:G2Q676,mtm:MYCTH_2052762
up:G2Q629,mtm:MYCTH_2052991
up:G2Q5D6,mtm:MYCTH_2053048
up:G2Q677,mtm:MYCTH_2053143
up:G2Q4Q8,mtm:MYCTH_2053156
up:G2Q289,mtm:MYCTH_2053230
up:G2PZJ9,mtm:MYCTH_2053430
up:G2PZN8,mtm:MYCTH_2053489
up:G2Q137,mtm:MYCTH_2053528
up:G2Q099,mtm:MYCTH_2053555
up:G2Q3W6,mtm:MYCTH_2053582
up:G2QEI9,mtm:MYCTH_2053587
up:G2Q5N0,mtm:MYCTH_2053677
up:G2Q6W6,mtm:MYCTH_2053975
up:G2Q467,mtm:MYCTH_2054051
up:G2PZQ2,mtm:MYCTH_2054076
up:G2Q1X4,mtm:MYCTH_2054138
up:G2Q167,mtm:MYCTH_2054145
up:G2Q1C4,mtm:MYCTH_2054177
up:G2PZR3,mtm:MYCTH_2054216
up:G2Q507,mtm:MYCTH_2054219
up:G2Q2G2,mtm:MYCTH_2054232
