Gene	Symbol	Cazy	PFAM	Description	NCBI Gene ID	Protein_id	KEGG	Knum	Uniport ID	EC_number	FungiDB	JGI	Chr	Start	End	Strand	Length	GO ID	ONTOLOGY	Type	Pathway Name	Pathway ID
MYCTH_100654	GCN2		HGTP_anticodon2,Pkinase,RWD,tRNA-synt_His	Anticodon binding domain of tRNAs(GCN2)	11510511.0	XP_003661706	MYCTH_100654	K16196	G2Q9K2	2.7.11.1	MYCTH_100654	100654	NC_016473.1	2686747.0	2691897.0	+	5151.0	GO:0005515,GO:0005524,GO:0006468,GO:0005524,GO:0004672,GO:0006468,GO:0004672,GO:0006468,GO:0004694,GO:0010998,GO:0000077	protein binding,ATP binding,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation,protein kinase activity,protein phosphorylation,eukaryotic translation initiation factor 2alpha kinase activity,regulation of translational initiation by eIF2 alpha phosphorylation,DNA damage checkpoint	MF,MF,BP,MF,MF,BP,MF,BP,MF,BP,BP	Autophagy - yeast,Protein processing in endoplasmic reticulum	mtm04138,mtm04141
MYCTH_100744			COMPASS-Shg1	COMPASS (Complex proteins associated with Set1p) component shg1	11510401.0	XP_003661596	MYCTH_100744		G2Q959		MYCTH_100744	100744	NC_016473.1	2245160.0	2248172.0	+	3013.0					
MYCTH_100777	YIH1		RWD,UPF0029	Uncharacterized protein family UPF0029	11510366.0	XP_003661561	MYCTH_100777		G2Q8X1		MYCTH_100777	100777	NC_016473.1	2120918.0	2121832.0	+	915.0	GO:0005515	protein binding	MF		
MYCTH_100809	SYG1		EXS,SPX	EXS family(SYG1)	11510325.0	XP_003661520	MYCTH_100809		G2Q8T0		MYCTH_100809	100809	NC_016473.1	1938493.0	1943660.0	-	5168.0	GO:0016021	integral component of membrane	CC		
MYCTH_100838	YJR107W		Lipase3_N,Lipase_3	Lipase (class 3)	11512161.0	XP_003661482	MYCTH_100838		G2Q8I8		MYCTH_100838	100838	NC_016473.1	1839014.0	1840290.0	-	1277.0	GO:0006629	lipid metabolic process	BP		
MYCTH_100975			Ten1	Telomere capping, CST complex subunit	11511998.0	XP_003661319	MYCTH_100975		G2Q7L6		MYCTH_100975	100975	NC_016473.1	1300645.0	1301245.0	+	601.0	GO:0016233,GO:0043047,GO:1990879	telomere capping,single-stranded telomeric DNA binding,CST complex	BP,MF,CC		
MYCTH_101019					11511946.0	XP_003661267	MYCTH_101019		G2Q7B1		MYCTH_101019	101019	NC_016473.1	1124952.0	1125206.0	-	255.0					
MYCTH_101105			Kinetocho_Slk19	Central kinetochore-associated	11511841.0	XP_003661162	MYCTH_101105		G2QAS5		MYCTH_101105	101105	NC_016473.1	657033.0	659894.0	-	2862.0	GO:0007052	mitotic spindle organization	BP		
MYCTH_101107	DTR1		MFS_1	Major Facilitator Superfamily	11511838.0	XP_003661159	MYCTH_101107		G2QAS2		MYCTH_101107	101107	NC_016473.1	651796.0	653370.0	-	1575.0	GO:0055085,GO:0022857,GO:0022857	transmembrane transport,transmembrane transporter activity,transmembrane transporter activity	BP,MF,MF		
MYCTH_101172			Fungal_trans_2,Zn_clus	Fungal specific transcription factor domain	11511765.0	XP_003661086	MYCTH_101172		G2QAE5		MYCTH_101172	101172	NC_016473.1	395683.0	397573.0	-	1891.0					
MYCTH_101222		CBM1: Carbohydrate-Binding Modules (CBMs) 	DUF1996	Domain of unknown function (DUF1996)	11509762.0	XP_003663650	MYCTH_101222		G2QDZ6		MYCTH_101222	101222	NC_016474.1	5043655.0	5045035.0	-	1381.0					
MYCTH_101224	NCP1		FAD_binding_1,Flavodoxin_1,NAD_binding_1,p450	Belongs to the cytochrome P450 family	11509759.0	XP_003663647	MYCTH_101224	K14338	G2QDZ3	1.14.14.1,1.6.2.4	MYCTH_101224	101224	NC_016474.1	5032687.0	5036306.0	-	3620.0	GO:0010181,GO:0016491,GO:0055114,GO:0016705,GO:0005506,GO:0020037,GO:0055114,GO:0016705,GO:0020037,GO:0005506,GO:0055114,GO:0070330,GO:0003958,GO:0055114,GO:0016705,GO:0055114	FMN binding,oxidoreductase activity,oxidation-reduction process,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,iron ion binding,heme binding,oxidation-reduction process,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,heme binding,iron ion binding,oxidation-reduction process,aromatase activity,NADPH-hemoprotein reductase activity,oxidation-reduction process,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,oxidation-reduction process	MF,MF,BP,MF,MF,MF,BP,MF,MF,MF,BP,MF,MF,BP,MF,BP	Fatty acid degradation,Tryptophan metabolism	mtm00071,mtm00380
MYCTH_101261	CEM1		Acyl_transf_1,KAsynt_C_assoc,Ketoacyl-synt_C,PP-binding,PS-DH,SAT,Thioesterase,ketoacyl-synt	Phosphopantetheine attachment site	11509713.0	XP_003663601	MYCTH_101261		G2QDP5		MYCTH_101261	101261	NC_016474.1	4898190.0	4904094.0	-	5905.0	GO:0016740,GO:0003824,GO:0031177	transferase activity,catalytic activity,phosphopantetheine binding	MF,MF,MF		
MYCTH_101321					11509547.0	XP_003663513	MYCTH_101321		G2QD50		MYCTH_101321	101321	NC_016474.1	4496099.0	4497969.0	-	1871.0					
MYCTH_101345					11509424.0	XP_003663468	MYCTH_101345		G2QCV2		MYCTH_101345	101345	NC_016474.1	4283418.0	4284206.0	-	789.0					
MYCTH_101354		CBM1: Carbohydrate-Binding Modules (CBMs) 	CBM_1,DUF1996	Domain of unknown function (DUF1996)	11509408.0	XP_003663452	MYCTH_101354		G2QCT6		MYCTH_101354	101354	NC_016474.1	4166727.0	4168725.0	-	1999.0	GO:0005576,GO:0005975,GO:0030248,GO:0005975,GO:0005576,GO:0030248	extracellular region,carbohydrate metabolic process,cellulose binding,carbohydrate metabolic process,extracellular region,cellulose binding	CC,BP,MF,BP,CC,MF		
MYCTH_101394			bZIP_1	basic region leucin zipper	11509266.0	XP_003663388	MYCTH_101394		G2QCG7		MYCTH_101394	101394	NC_016474.1	3768548.0	3770106.0	+	1559.0	GO:0003700,GO:0006355	DNA-binding transcription factor activity,regulation of transcription, DNA-templated	MF,BP		
MYCTH_101399			Acetyltransf_1		11509261.0	XP_003663383	MYCTH_101399		G2QCG2		MYCTH_101399	101399	NC_016474.1	3748401.0	3750683.0	-	2283.0	GO:0008080	N-acetyltransferase activity	MF		
MYCTH_101406					11509254.0	XP_003663376	MYCTH_101406		G2QCF5		MYCTH_101406	101406	NC_016474.1	3731867.0	3733765.0	+	1899.0					
MYCTH_101411	MSW1		Ribosomal_S10,tRNA-synt_1b	Ribosomal protein S10p/S20e(MSW1)	11509249.0	XP_003663371	MYCTH_101411	K01867,K02946	G2QCF0	6.1.1.2	MYCTH_101411	101411	NC_016474.1	3716605.0	3721017.0	+	4413.0	GO:0006436,GO:0005524,GO:0004830,GO:0000166,GO:0006412,GO:0005840,GO:0003735,GO:0005524,GO:0004812,GO:0006418,GO:0000166	tryptophanyl-tRNA aminoacylation,ATP binding,tryptophan-tRNA ligase activity,nucleotide binding,translation,ribosome,structural constituent of ribosome,ATP binding,aminoacyl-tRNA ligase activity,tRNA aminoacylation for protein translation,nucleotide binding	BP,MF,MF,MF,BP,CC,MF,MF,MF,BP,MF	Aminoacyl-tRNA biosynthesis	mtm00970
MYCTH_101506			SET	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain(SET5)	11507890.0	XP_003663264	MYCTH_101506	K07117,K11426	G2QBT6		MYCTH_101506	101506	NC_016474.1	3323007.0	3324719.0	+	1713.0	GO:0005515	protein binding	MF		
MYCTH_101575			RRM_1	RNA recognition motif	11507818.0	XP_003663192	MYCTH_101575		G2QBK4		MYCTH_101575	101575	NC_016474.1	3053885.0	3055556.0	+	1672.0	GO:0003676	nucleic acid binding	MF		
MYCTH_101588	YMR1		Myotub-related	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily(YMR1)	11507805.0	XP_003663179	MYCTH_101588	K18083	G2QBJ1	3.1.3.64,3.1.3.95	MYCTH_101588	101588	NC_016474.1	3005125.0	3007653.0	-	2529.0	GO:0016311,GO:0004725	dephosphorylation,protein tyrosine phosphatase activity	BP,MF	Inositol phosphate metabolism,Metabolic pathways,Phosphatidylinositol signaling system,Autophagy - yeast	mtm00562,mtm01100,mtm04070,mtm04138
MYCTH_101623	SSA4		HSP70	Belongs to the heat shock protein 70 family	11507765.0	XP_003663139	MYCTH_101623		G2QBF1		MYCTH_101623	101623	NC_016474.1	2690564.0	2693185.0	-	2622.0					
MYCTH_101673					11507704.0	XP_003663078	MYCTH_101673		G2QEQ0		MYCTH_101673	101673	NC_016474.1	2501825.0	2504778.0	-	2954.0					
MYCTH_101679			RA,SH3_1	Src homology 3 domains(BUD14)	11507700.0	XP_003663074	MYCTH_101679		G2QEP6		MYCTH_101679	101679	NC_016474.1	2486337.0	2489796.0	+	3460.0	GO:0005515	protein binding	MF		
MYCTH_101730				cornified envelope assembly	11507646.0	XP_003663020	MYCTH_101730		G2QEJ2		MYCTH_101730	101730	NC_016474.1	2299490.0	2301593.0	+	2104.0					
MYCTH_10175	ASG1		Fungal_trans,Zn_clus	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	11511362.0	XP_003665602	MYCTH_10175		G2QIN5		MYCTH_10175	10175	NC_016476.1	3943778.0	3945673.0	+	1896.0	GO:0042025,GO:0006355,GO:0000981,GO:0008270,GO:0006351,GO:0005634,GO:0003677,GO:0008270	host cell nucleus,regulation of transcription, DNA-templated,DNA-binding transcription factor activity, RNA polymerase II-specific,zinc ion binding,transcription, DNA-templated,nucleus,DNA binding,zinc ion binding	CC,BP,MF,MF,BP,CC,MF,MF		
MYCTH_101762	FAF1		DUF4602	to Saccharomyces cerevisiae FAF1 (YIL019W)(FAF1)	11507606.0	XP_003662980	MYCTH_101762		G2QEF2		MYCTH_101762	101762	NC_016474.1	2032444.0	2033716.0	+	1273.0					
MYCTH_101800		GH30_7: Glycoside Hydrolases (GHs) 	Glyco_hydr_30_2,Glyco_hydro_30C	Glycosyl hydrolase family 30 beta sandwich domain	11507564.0	XP_003662938	MYCTH_101800		G2QEB0		MYCTH_101800	101800	NC_016474.1	1896964.0	1898453.0	+	1490.0	GO:0006683,GO:0004336,GO:0004348,GO:0006665	galactosylceramide catabolic process,galactosylceramidase activity,glucosylceramidase activity,sphingolipid metabolic process	BP,MF,MF,BP		
MYCTH_101870	YDR514C				11507486.0	XP_003662860	MYCTH_101870		G2QE32		MYCTH_101870	101870	NC_016474.1	1629601.0	1631630.0	-	2030.0	GO:0003676	nucleic acid binding	MF		
MYCTH_101972		GH95: Glycoside Hydrolases (GHs) 	Glyco_hyd_65N_2	Glycosyl hydrolase family 65, N-terminal domain	11507368.0	XP_003662742	MYCTH_101972		G2QDI5		MYCTH_101972	101972	NC_016474.1	1242133.0	1245108.0	+	2976.0	GO:0003824,GO:0004560	catalytic activity,alpha-L-fucosidase activity	MF,MF		
MYCTH_102118		AA1: Auxiliary Activities (AAs) 	Scytalone_dh	scytalone dehydratase	11512648.0	XP_003662572	MYCTH_102118	K17740	G2QCK4	4.2.1.94	MYCTH_102118	102118	NC_016474.1	607692.0	608332.0	-	641.0	GO:0030411,GO:0006582	scytalone dehydratase activity,melanin metabolic process	MF,BP		
MYCTH_102133			Amidoligase_2	Putative amidoligase enzyme	11512631.0	XP_003662555	MYCTH_102133		G2QCD5		MYCTH_102133	102133	NC_016474.1	534228.0	535422.0	-	1195.0					
MYCTH_102138			DUF1524	Protein of unknown function (DUF1524)	11512625.0	XP_003662549	MYCTH_102138		G2QCC9		MYCTH_102138	102138	NC_016474.1	518911.0	519781.0	-	871.0					
MYCTH_102172	YPR127W		Aldo_ket_red	Aldo/keto reductase family	11512578.0	XP_003662502	MYCTH_102172		G2QC30		MYCTH_102172	102172	NC_016474.1	329193.0	330501.0	-	1309.0					
MYCTH_102226			Metallophos,Metallophos_2	Calcineurin-like phosphoesterase superfamily domain	11506317.0	XP_003664711	MYCTH_102226		G2QGV9		MYCTH_102226	102226	NC_016475.1	4676978.0	4677964.0	-	987.0	GO:0016787	hydrolase activity	MF		
MYCTH_102290	SPS19		AhpC-TSA_2,adh_short_C2	Enoyl-(Acyl carrier protein) reductase	11506149.0	XP_003664621	MYCTH_102290	K18337	G2QGB6	1.1.1.173,1.1.1.377,1.1.1.378	MYCTH_102290	102290	NC_016475.1	4121260.0	4122081.0	+	822.0				Fructose and mannose metabolism,Metabolic pathways	mtm00051,mtm01100
MYCTH_102295	NIT2		CN_hydrolase	Carbon-nitrogen hydrolase(NIT2)	11506142.0	XP_003664614	MYCTH_102295	K01431,K11206	G2QGA9	3.5.1.6	MYCTH_102295	102295	NC_016475.1	4102485.0	4103716.0	+	1232.0	GO:0006807	nitrogen compound metabolic process	BP		
MYCTH_102297				Cysteine-rich secreted protein	11506140.0	XP_003664612	MYCTH_102297		G2QGA7		MYCTH_102297	102297	NC_016475.1	4093400.0	4094725.0	-	1326.0					
MYCTH_102322		PL3_2: Polysaccharide Lyases (PLs) 	Pectate_lyase	Pectate lyase	11506107.0	XP_003664579	MYCTH_102322		G2QG74		MYCTH_102322	102322	NC_016475.1	4004917.0	4006053.0	+	1137.0	GO:0030570,GO:0005576	pectate lyase activity,extracellular region	MF,CC	Pentose and glucuronate interconversions,Metabolic pathways	mtm00040,mtm01100
MYCTH_102448					11514359.0	XP_003664416	MYCTH_102448		G2QFE2		MYCTH_102448	102448	NC_016475.1	3255870.0	3256972.0	-	1103.0					
MYCTH_102510			Cupin_8	Cupin-like domain	11514203.0	XP_003664338	MYCTH_102510		G2QF64		MYCTH_102510	102510	NC_016475.1	2919774.0	2920958.0	-	1185.0					
MYCTH_102522		GH55: Glycoside Hydrolases (GHs) 	Pectate_lyase_3	Pectate lyase superfamily protein	11514109.0	XP_003664322	MYCTH_102522	K01210	G2QF48	3.2.1.58	MYCTH_102522	102522	NC_016475.1	2866264.0	2869109.0	-	2846.0				Starch and sucrose metabolism,Metabolic pathways	mtm00500,mtm01100
MYCTH_102533					11514098.0	XP_003664311	MYCTH_102533		G2QF37		MYCTH_102533	102533	NC_016475.1	2822437.0	2824683.0	+	2247.0					
MYCTH_102652					11513805.0	XP_003664174	MYCTH_102652		G2QHR9		MYCTH_102652	102652	NC_016475.1	2306661.0	2307242.0	-	582.0					
MYCTH_102790			Tht1	Tht1-like nuclear fusion protein	11513490.0	XP_003664015	MYCTH_102790		G2QHB0		MYCTH_102790	102790	NC_016475.1	1770033.0	1771460.0	+	1428.0	GO:0048288,GO:0000742	nuclear membrane fusion involved in karyogamy,karyogamy involved in conjugation with cellular fusion	BP,BP		
MYCTH_102792			Lactonase	Lactonase, 7-bladed beta-propeller	11513487.0	XP_003664012	MYCTH_102792	K14334	G2QHA7	5.5.1.5	MYCTH_102792	102792	NC_016475.1	1763596.0	1764824.0	+	1229.0	GO:0005515	protein binding	MF		
MYCTH_102797	CCC2		E1-E2_ATPase,HMA,Hydrolase	Heavy-metal-associated domain	11513480.0	XP_003664005	MYCTH_102797		G2QHA0		MYCTH_102797	102797	NC_016475.1	1739614.0	1743285.0	+	3672.0	GO:0030001,GO:0046872,GO:0000166,GO:0016021,GO:0016021,GO:0006812,GO:0019829	metal ion transport,metal ion binding,nucleotide binding,integral component of membrane,integral component of membrane,cation transport,ATPase-coupled cation transmembrane transporter activity	BP,MF,MF,CC,CC,BP,MF		
MYCTH_102849		CBM18: Carbohydrate-Binding Modules (CBMs) 			11510283.0	XP_003663933	MYCTH_102849		G2QH28		MYCTH_102849	102849	NC_016475.1	1362929.0	1364258.0	-	1330.0	GO:0008061	chitin binding	MF		
MYCTH_102871			Fungal_trans,Zn_clus	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	11510249.0	XP_003663899	MYCTH_102871		G2QGZ4		MYCTH_102871	102871	NC_016475.1	1205801.0	1207627.0	-	1827.0	GO:0042025,GO:0006355,GO:0000981,GO:0008270,GO:0006351,GO:0005634,GO:0003677,GO:0008270	host cell nucleus,regulation of transcription, DNA-templated,DNA-binding transcription factor activity, RNA polymerase II-specific,zinc ion binding,transcription, DNA-templated,nucleus,DNA binding,zinc ion binding	CC,BP,MF,MF,BP,CC,MF,MF		
MYCTH_102878					11510236.0	XP_003663886	MYCTH_102878		G2QGY1		MYCTH_102878	102878	NC_016475.1	1137545.0	1138750.0	-	1206.0					
MYCTH_102943			Abhydrolase_3	alpha/beta hydrolase fold	11510145.0	XP_003663795	MYCTH_102943		G2QGD6		MYCTH_102943	102943	NC_016475.1	657129.0	658658.0	+	1530.0	GO:0016787	hydrolase activity	MF		
MYCTH_102965	ERG5		p450	Cytochrome P450	11510054.0	XP_003663764	MYCTH_102965		G2QG54		MYCTH_102965	102965	NC_016475.1	475732.0	477376.0	+	1645.0	GO:0016705,GO:0020037,GO:0005506,GO:0055114,GO:0016705,GO:0005506,GO:0020037,GO:0055114,GO:0016705,GO:0055114	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,heme binding,iron ion binding,oxidation-reduction process,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,iron ion binding,heme binding,oxidation-reduction process,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,oxidation-reduction process	MF,MF,MF,BP,MF,MF,MF,BP,MF,BP		
MYCTH_102971		AA7: Auxiliary Activities (AAs) 	BBE,FAD_binding_4	Belongs to the oxygen-dependent FAD-linked oxidoreductase family	11510048.0	XP_003663758	MYCTH_102971		G2QG48		MYCTH_102971	102971	NC_016475.1	458655.0	460362.0	-	1708.0	GO:0050660,GO:0050660,GO:0016491,GO:0055114,GO:0071949	flavin adenine dinucleotide binding,flavin adenine dinucleotide binding,oxidoreductase activity,oxidation-reduction process,FAD binding	MF,MF,MF,BP,MF		
MYCTH_102977			MFS_1	Major Facilitator Superfamily	11510040.0	XP_003663750	MYCTH_102977	K02429	G2QG40		MYCTH_102977	102977	NC_016475.1	434557.0	436178.0	-	1622.0	GO:0055085,GO:0022857	transmembrane transport,transmembrane transporter activity	BP,MF		
MYCTH_102985	LYS2		AMP-binding,Condensation,PP-binding	Condensation domain	11506414.0	XP_003663739	MYCTH_102985		G2QG29		MYCTH_102985	102985	NC_016475.1	365223.0	373869.0	+	8647.0	GO:0003824	catalytic activity	MF		
MYCTH_102997	FEN2		MFS_1	Major Facilitator Superfamily	11510005.0	XP_003663715	MYCTH_102997	K03448	G2QFV2		MYCTH_102997	102997	NC_016475.1	228580.0	231108.0	-	2529.0	GO:0055085,GO:0022857,GO:0022857	transmembrane transport,transmembrane transporter activity,transmembrane transporter activity	BP,MF,MF		
MYCTH_103022			Hemerythrin		11509876.0	XP_003663680	MYCTH_103022		G2QFR7		MYCTH_103022	103022	NC_016475.1	125370.0	126279.0	+	910.0					
MYCTH_103025			DUF647	Vitamin B6 photo-protection and homoeostasis	11509873.0	XP_003663677	MYCTH_103025		G2QFR4		MYCTH_103025	103025	NC_016475.1	61927.0	63557.0	-	1631.0					
MYCTH_103032		GH43_6: Glycoside Hydrolases (GHs) 	Glyco_hydro_43	Belongs to the glycosyl hydrolase 43 family	11509907.0	XP_003663667	MYCTH_103032	K06113	G2QFK0	3.2.1.99	MYCTH_103032	103032	NC_016475.1	25889.0	27048.0	-	1160.0	GO:0004553,GO:0005975,GO:0046558	hydrolase activity, hydrolyzing O-glycosyl compounds,carbohydrate metabolic process,arabinan endo-1,5-alpha-L-arabinosidase activity	MF,BP,MF		
MYCTH_103061	CEM1		ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt	polyketide synthase	11511443.0	XP_003665683	MYCTH_103061		G2QJ19		MYCTH_103061	103061	NC_016476.1	4244361.0	4251153.0	+	6793.0	GO:0031177,GO:0003824,GO:0016740,GO:0016491	phosphopantetheine binding,catalytic activity,transferase activity,oxidoreductase activity	MF,MF,MF,MF		
MYCTH_103070		AA16: Auxiliary Activities (AAs) 	LPMO_10	Lytic polysaccharide mono-oxygenase, cellulose-degrading	11511429.0	XP_003665669	MYCTH_103070		G2QJ05		MYCTH_103070	103070	NC_016476.1	4196964.0	4197851.0	+	888.0					
MYCTH_103080			DHDPS	Dihydrodipicolinate synthetase family	11511417.0	XP_003665657	MYCTH_103080	K18339	G2QIZ3	4.1.2.53	MYCTH_103080	103080	NC_016476.1	4164943.0	4166089.0	-	1147.0	GO:0016829,GO:0003824	lyase activity,catalytic activity	MF,MF	Fructose and mannose metabolism,Metabolic pathways	mtm00051,mtm01100
MYCTH_103090			CFEM	CFEM domain	11511403.0	XP_003665643	MYCTH_103090		G2QIX9		MYCTH_103090	103090	NC_016476.1	4128435.0	4130523.0	-	2089.0					
MYCTH_103096	CEM1		ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt	Enoylreductase	11511487.0	XP_003665637	MYCTH_103096		G2QIS0		MYCTH_103096	103096	NC_016476.1	4104555.0	4114045.0	+	9491.0	GO:0003824,GO:0016740,GO:0016491,GO:0031177	catalytic activity,transferase activity,oxidoreductase activity,phosphopantetheine binding	MF,MF,MF,MF		
MYCTH_103122			Pkinase	Protein kinase subdomain-containing protein	11511359.0	XP_003665599	MYCTH_103122		G2QIN2		MYCTH_103122	103122	NC_016476.1	3934853.0	3936672.0	+	1820.0	GO:0006468,GO:0005524,GO:0004672	protein phosphorylation,ATP binding,protein kinase activity	BP,MF,MF		
MYCTH_103124			DUF3246,Mid2		11511355.0	XP_003665595	MYCTH_103124		G2QIM8		MYCTH_103124	103124	NC_016476.1	3925816.0	3928249.0	+	2434.0					
MYCTH_103134					11511338.0	XP_003665578	MYCTH_103134		G2QIF9		MYCTH_103134	103134	NC_016476.1	3853657.0	3854717.0	+	1061.0					
MYCTH_103164		CE16: Carbohydrate Esterases (CEs) 	Methyltransf_23	Methyltransferase domain-containing protein	11511282.0	XP_003665522	MYCTH_103164		G2QI88		MYCTH_103164	103164	NC_016476.1	3582012.0	3583478.0	-	1467.0					
MYCTH_103320			Pyr_redox_2	Pyridine nucleotide-disulphide oxidoreductase	11511118.0	XP_003665358	MYCTH_103320		G2QKK7		MYCTH_103320	103320	NC_016476.1	3016581.0	3017160.0	-	580.0					
MYCTH_103330			M20_dimer,Peptidase_M20,Peptidase_M28	Peptidase dimerisation domain	11511106.0	XP_003665346	MYCTH_103330	K01438	G2QKJ5	3.5.1.16	MYCTH_103330	103330	NC_016476.1	2978247.0	2979760.0	-	1514.0	GO:0016787	hydrolase activity	MF	Arginine biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids	mtm00220,mtm01100,mtm01110,mtm01210,mtm01230
MYCTH_103334	DCW1	GH76: Glycoside Hydrolases (GHs) 	Glyco_hydro_76	Mannan endo-1,6-alpha-mannosidase	11511101.0	XP_003665341	MYCTH_103334	K08257	G2QKJ0	3.2.1.101	MYCTH_103334	103334	NC_016476.1	2966673.0	2968278.0	+	1606.0	GO:0008496,GO:0016052,GO:0003824	mannan endo-1,6-alpha-mannosidase activity,carbohydrate catabolic process,catalytic activity	MF,BP,MF		
