id,GO,ONTOLOGY,GO_type
XP_003658336.1,"GO:0007018,GO:0005524,GO:0003777,GO:0008017,GO:0007018,GO:0005524,GO:0008017,GO:0003777,GO:0007018,GO:0003777","microtubule-based movement,ATP binding,microtubule motor activity,microtubule binding,microtubule-based movement,ATP binding,microtubule binding,microtubule motor activity,microtubule-based movement,microtubule motor activity","BP,MF,MF,MF,BP,MF,MF,MF,BP,MF"
XP_003658339.1,"GO:0005730,GO:0042254","nucleolus,ribosome biogenesis","CC,BP"
XP_003658340.1,"GO:0016255,GO:0042765,GO:0016021","attachment of GPI anchor to protein,GPI-anchor transamidase complex,integral component of membrane","BP,CC,CC"
XP_003658342.1,GO:0001401,SAM complex,CC
XP_003658343.1,"GO:0005524,GO:0004812,GO:0006418,GO:0000166,GO:0002161,GO:0006418,GO:0000049,GO:0005524,GO:0006418,GO:0004812,GO:0000166,GO:0006428,GO:0005524,GO:0000166,GO:0004822,GO:0004812,GO:0006418","ATP binding,aminoacyl-tRNA ligase activity,tRNA aminoacylation for protein translation,nucleotide binding,aminoacyl-tRNA editing activity,tRNA aminoacylation for protein translation,tRNA binding,ATP binding,tRNA aminoacylation for protein translation,aminoacyl-tRNA ligase activity,nucleotide binding,isoleucyl-tRNA aminoacylation,ATP binding,nucleotide binding,isoleucine-tRNA ligase activity,aminoacyl-tRNA ligase activity,tRNA aminoacylation for protein translation","MF,MF,BP,MF,MF,BP,MF,MF,BP,MF,MF,BP,MF,MF,MF,MF,BP"
XP_003658344.1,"GO:0005524,GO:0003676","ATP binding,nucleic acid binding","MF,MF"
XP_003658346.1,"GO:0055085,GO:0016021","transmembrane transport,integral component of membrane","BP,CC"
XP_003658348.1,"GO:0006508,GO:0004252,GO:0008236,GO:0006508","proteolysis,serine-type endopeptidase activity,serine-type peptidase activity,proteolysis","BP,MF,MF,BP"
XP_003658349.1,GO:0035091,phosphatidylinositol binding,MF
XP_003658350.1,GO:0043022,ribosome binding,MF
XP_003658351.1,"GO:0005524,GO:0006139,GO:0019205,GO:0005739,GO:0004017","ATP binding,nucleobase-containing compound metabolic process,nucleobase-containing compound kinase activity,mitochondrion,adenylate kinase activity","MF,BP,MF,CC,MF"
XP_003658353.1,GO:0003824,catalytic activity,MF
XP_003658354.1,"GO:0003676,GO:0003729","nucleic acid binding,mRNA binding","MF,MF"
XP_003658356.1,GO:0005515,protein binding,MF
XP_003658357.1,"GO:0050660,GO:0016491,GO:0055114,GO:0071949,GO:0050660,GO:0050660,GO:0003824","flavin adenine dinucleotide binding,oxidoreductase activity,oxidation-reduction process,FAD binding,flavin adenine dinucleotide binding,flavin adenine dinucleotide binding,catalytic activity","MF,MF,BP,MF,MF,MF,MF"
XP_003658364.1,"GO:0016746,GO:0006506,GO:0016021","transferase activity, transferring acyl groups,GPI anchor biosynthetic process,integral component of membrane","MF,BP,CC"
XP_003658365.1,"GO:0006468,GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0005524,GO:0006468,GO:0004674","protein phosphorylation,protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,ATP binding,protein phosphorylation,protein serine/threonine kinase activity","BP,MF,BP,MF,MF,MF,BP,MF"
XP_003658366.1,"GO:0030289,GO:0019888","protein phosphatase 4 complex,protein phosphatase regulator activity","CC,MF"
XP_003658370.1,"GO:0042719,GO:0045039","mitochondrial intermembrane space protein transporter complex,protein insertion into mitochondrial inner membrane","CC,BP"
XP_003658371.1,"GO:0005524,GO:0006418,GO:0004812,GO:0000166,GO:0005737,GO:0005524,GO:0000166,GO:0004824,GO:0006430,GO:0003676","ATP binding,tRNA aminoacylation for protein translation,aminoacyl-tRNA ligase activity,nucleotide binding,cytoplasm,ATP binding,nucleotide binding,lysine-tRNA ligase activity,lysyl-tRNA aminoacylation,nucleic acid binding","MF,BP,MF,MF,CC,MF,MF,MF,BP,MF"
XP_003658374.1,"GO:0000160,GO:0016772,GO:0016310,GO:0000155,GO:0007165,GO:0007165,GO:0000155","phosphorelay signal transduction system,transferase activity, transferring phosphorus-containing groups,phosphorylation,phosphorelay sensor kinase activity,signal transduction,signal transduction,phosphorelay sensor kinase activity","BP,MF,BP,MF,BP,BP,MF"
XP_003658378.1,"GO:0016491,GO:0055114,GO:0016620,GO:0016491,GO:0055114,GO:0055114,GO:0009450,GO:0009013","oxidoreductase activity,oxidation-reduction process,oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,oxidoreductase activity,oxidation-reduction process,oxidation-reduction process,gamma-aminobutyric acid catabolic process,succinate-semialdehyde dehydrogenase [NAD(P)+] activity","MF,BP,MF,MF,BP,BP,BP,MF"
XP_003658379.1,"GO:0006468,GO:0005524,GO:0004672,GO:0006468,GO:0004672","protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation,protein kinase activity","BP,MF,MF,BP,MF"
XP_003658383.1,"GO:0008270,GO:0003676","zinc ion binding,nucleic acid binding","MF,MF"
XP_003658389.1,"GO:0042025,GO:0000077","host cell nucleus,DNA damage checkpoint","CC,BP"
XP_003658391.1,"GO:0005515,GO:0008080,GO:0004402","protein binding,N-acetyltransferase activity,histone acetyltransferase activity","MF,MF,MF"
XP_003658392.1,"GO:0005991,GO:0004555,GO:0003824","trehalose metabolic process,alpha,alpha-trehalase activity,catalytic activity","BP,MF,MF"
XP_003658393.1,"GO:0003824,GO:0016829,GO:0006520","catalytic activity,lyase activity,cellular amino acid metabolic process","MF,MF,BP"
XP_003658396.1,GO:0008017,microtubule binding,MF
XP_003658397.1,"GO:0016021,GO:0006487,GO:0008250","integral component of membrane,protein N-linked glycosylation,oligosaccharyltransferase complex","CC,BP,CC"
XP_003658399.1,GO:0016787,hydrolase activity,MF
XP_003658400.1,"GO:0008654,GO:0016780,GO:0016020","phospholipid biosynthetic process,phosphotransferase activity, for other substituted phosphate groups,membrane","BP,MF,CC"
XP_003658401.1,"GO:0035091,GO:0032266","phosphatidylinositol binding,phosphatidylinositol-3-phosphate binding","MF,MF"
XP_003658402.1,GO:0016603,glutaminyl-peptide cyclotransferase activity,MF
XP_003658404.1,GO:0016491,oxidoreductase activity,MF
XP_003658405.1,GO:0005515,protein binding,MF
XP_003658406.1,"GO:0003676,GO:0006355,GO:0005634,GO:0003700,GO:0008270,GO:0003700","nucleic acid binding,regulation of transcription, DNA-templated,nucleus,DNA-binding transcription factor activity,zinc ion binding,DNA-binding transcription factor activity","MF,BP,CC,MF,MF,MF"
XP_003658408.1,GO:0019211,phosphatase activator activity,MF
XP_003658410.1,"GO:0003951,GO:0006741,GO:0003951,GO:0003951,GO:0019674","NAD+ kinase activity,NADP biosynthetic process,NAD+ kinase activity,NAD+ kinase activity,NAD metabolic process","MF,BP,MF,MF,BP"
XP_003658411.1,GO:0003677,DNA binding,MF
XP_003658412.1,GO:0008270,zinc ion binding,MF
XP_003658414.1,"GO:0061817,GO:0008289","endoplasmic reticulum-plasma membrane tethering,lipid binding","BP,MF"
XP_003658417.1,"GO:0008519,GO:0072488,GO:0016020,GO:0008519,GO:0016020,GO:0015696","ammonium transmembrane transporter activity,ammonium transmembrane transport,membrane,ammonium transmembrane transporter activity,membrane,ammonium transport","MF,BP,CC,MF,CC,BP"
XP_003658420.1,"GO:0004553,GO:0005975","hydrolase activity, hydrolyzing O-glycosyl compounds,carbohydrate metabolic process","MF,BP"
XP_003658421.1,"GO:0004930,GO:0007186,GO:0016021,GO:0007166,GO:0004888,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane,cell surface receptor signaling pathway,transmembrane signaling receptor activity,integral component of membrane","MF,BP,CC,BP,MF,CC"
XP_003658423.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_003658424.1,"GO:0042025,GO:0006355,GO:0000981,GO:0008270","host cell nucleus,regulation of transcription, DNA-templated,DNA-binding transcription factor activity, RNA polymerase II-specific,zinc ion binding","CC,BP,MF,MF"
XP_003658425.1,"GO:0006468,GO:0004672,GO:0006468,GO:0005524,GO:0004672","protein phosphorylation,protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity","BP,MF,BP,MF,MF"
XP_003658427.1,GO:0005515,protein binding,MF
XP_003658429.1,"GO:0008138,GO:0006470,GO:0016311,GO:0008138,GO:0004721,GO:0006470,GO:0007096,GO:0016311,GO:0004725,GO:0016311,GO:0016791","protein tyrosine/serine/threonine phosphatase activity,protein dephosphorylation,dephosphorylation,protein tyrosine/serine/threonine phosphatase activity,phosphoprotein phosphatase activity,protein dephosphorylation,regulation of exit from mitosis,dephosphorylation,protein tyrosine phosphatase activity,dephosphorylation,phosphatase activity","MF,BP,BP,MF,MF,BP,BP,BP,MF,BP,MF"
XP_003658430.1,GO:0008270,zinc ion binding,MF
XP_003658431.1,"GO:0016021,GO:0015116,GO:0008272,GO:0055085,GO:0016020,GO:0008272,GO:0008271,GO:0008272,GO:0008271","integral component of membrane,sulfate transmembrane transporter activity,sulfate transport,transmembrane transport,membrane,sulfate transport,secondary active sulfate transmembrane transporter activity,sulfate transport,secondary active sulfate transmembrane transporter activity","CC,MF,BP,BP,CC,BP,MF,BP,MF"
XP_003658433.1,GO:0016021,integral component of membrane,CC
XP_003658437.1,GO:0003755,peptidyl-prolyl cis-trans isomerase activity,MF
XP_003658438.1,"GO:0006468,GO:0005524,GO:0004672,GO:0005524,GO:0006468,GO:0005524,GO:0004674,GO:0006468,GO:0004672","protein phosphorylation,ATP binding,protein kinase activity,ATP binding,protein phosphorylation,ATP binding,protein serine/threonine kinase activity,protein phosphorylation,protein kinase activity","BP,MF,MF,MF,BP,MF,MF,BP,MF"
XP_003658439.1,"GO:0008270,GO:0030163,GO:0071596,GO:0061630","zinc ion binding,protein catabolic process,ubiquitin-dependent protein catabolic process via the N-end rule pathway,ubiquitin protein ligase activity","MF,BP,BP,MF"
XP_003658440.1,"GO:0005743,GO:0006122,GO:0005750","mitochondrial inner membrane,mitochondrial electron transport, ubiquinol to cytochrome c,mitochondrial respiratory chain complex III","CC,BP,CC"
XP_003658441.1,GO:1903259,exon-exon junction complex disassembly,BP
XP_003658442.1,"GO:0005524,GO:0034551","ATP binding,mitochondrial respiratory chain complex III assembly","MF,BP"
XP_003658443.1,"GO:0006412,GO:0005840,GO:0003735","translation,ribosome,structural constituent of ribosome","BP,CC,MF"
XP_003658446.1,"GO:0055085,GO:0005524,GO:0042626,GO:0016021,GO:0005524,GO:0016887,GO:0005524,GO:0016021","transmembrane transport,ATP binding,ATPase-coupled transmembrane transporter activity,integral component of membrane,ATP binding,ATPase activity,ATP binding,integral component of membrane","BP,MF,MF,CC,MF,MF,MF,CC"
XP_003658447.1,"GO:0005524,GO:0016021","ATP binding,integral component of membrane","MF,CC"
XP_003658449.1,GO:0003677,DNA binding,MF
XP_003658451.1,GO:0016021,integral component of membrane,CC
XP_003658453.1,GO:0016787,hydrolase activity,MF
XP_003658454.1,"GO:0035434,GO:0016021,GO:0005375","copper ion transmembrane transport,integral component of membrane,copper ion transmembrane transporter activity","BP,CC,MF"
XP_003658455.1,"GO:0005506,GO:0055114,GO:0000334","iron ion binding,oxidation-reduction process,3-hydroxyanthranilate 3,4-dioxygenase activity","MF,BP,MF"
XP_003658456.1,GO:0003824,catalytic activity,MF
XP_003658458.1,GO:0006397,mRNA processing,BP
XP_003658459.1,"GO:0016573,GO:0000123","histone acetylation,histone acetyltransferase complex","BP,CC"
XP_003658460.1,"GO:0008236,GO:0006508","serine-type peptidase activity,proteolysis","MF,BP"
XP_003658461.1,"GO:0005515,GO:0007062,GO:0008278","protein binding,sister chromatid cohesion,cohesin complex","MF,BP,CC"
XP_003658462.1,"GO:0000166,GO:0016021","nucleotide binding,integral component of membrane","MF,CC"
XP_003658463.1,"GO:0005525,GO:0005525,GO:0003924","GTP binding,GTP binding,GTPase activity","MF,MF,MF"
XP_003658464.1,"GO:0006777,GO:0005829","Mo-molybdopterin cofactor biosynthetic process,cytosol","BP,CC"
XP_003658465.1,"GO:0007017,GO:0005869","microtubule-based process,dynactin complex","BP,CC"
XP_003658467.1,"GO:0007165,GO:0005515,GO:0003824,GO:0004016,GO:0000287,GO:0006171,GO:0035556,GO:0009190","signal transduction,protein binding,catalytic activity,adenylate cyclase activity,magnesium ion binding,cAMP biosynthetic process,intracellular signal transduction,cyclic nucleotide biosynthetic process","BP,MF,MF,MF,MF,BP,BP,BP"
XP_003658468.1,"GO:0005524,GO:0016887,GO:0055085,GO:0005524,GO:0042626,GO:0016021,GO:0005524,GO:0016021","ATP binding,ATPase activity,transmembrane transport,ATP binding,ATPase-coupled transmembrane transporter activity,integral component of membrane,ATP binding,integral component of membrane","MF,MF,BP,MF,MF,CC,MF,CC"
XP_003658469.1,GO:0016791,phosphatase activity,MF
XP_003658470.1,"GO:0005784,GO:0006886","Sec61 translocon complex,intracellular protein transport","CC,BP"
XP_003658472.1,"GO:0036459,GO:0016579,GO:0006511,GO:0036459","thiol-dependent ubiquitinyl hydrolase activity,protein deubiquitination,ubiquitin-dependent protein catabolic process,thiol-dependent ubiquitinyl hydrolase activity","MF,BP,BP,MF"
XP_003658474.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_003658475.1,GO:0005515,protein binding,MF
XP_003658477.1,GO:0005515,protein binding,MF
XP_003658479.1,"GO:0006412,GO:0005840,GO:0003735","translation,ribosome,structural constituent of ribosome","BP,CC,MF"
XP_003658480.1,GO:0008080,N-acetyltransferase activity,MF
XP_003658484.1,"GO:0015078,GO:0000276,GO:0015986","proton transmembrane transporter activity,mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),ATP synthesis coupled proton transport","MF,CC,BP"
XP_003658485.1,GO:0005515,protein binding,MF
XP_003658489.1,GO:0005515,protein binding,MF
XP_003658490.1,GO:0070628,proteasome binding,MF
XP_003658491.1,"GO:0006629,GO:0008081","lipid metabolic process,phosphoric diester hydrolase activity","BP,MF"
XP_003658493.1,"GO:0003924,GO:0007017,GO:0005874,GO:0005200,GO:0005525,GO:0005874,GO:0007017,GO:0007017,GO:0005874,GO:0005525","GTPase activity,microtubule-based process,microtubule,structural constituent of cytoskeleton,GTP binding,microtubule,microtubule-based process,microtubule-based process,microtubule,GTP binding","MF,BP,CC,MF,MF,CC,BP,BP,CC,MF"
XP_003658494.1,GO:0003676,nucleic acid binding,MF
XP_003658496.1,GO:0033617,mitochondrial cytochrome c oxidase assembly,BP
XP_003658500.1,"GO:0022857,GO:0055085,GO:0022857","transmembrane transporter activity,transmembrane transport,transmembrane transporter activity","MF,BP,MF"
XP_003658501.1,"GO:0008536,GO:0006886","Ran GTPase binding,intracellular protein transport","MF,BP"
XP_003658503.1,"GO:0009116,GO:0006168,GO:0005737,GO:0003999","nucleoside metabolic process,adenine salvage,cytoplasm,adenine phosphoribosyltransferase activity","BP,BP,CC,MF"
XP_003658504.1,"GO:0003824,GO:0016020,GO:0004571,GO:0005509","catalytic activity,membrane,mannosyl-oligosaccharide 1,2-alpha-mannosidase activity,calcium ion binding","MF,CC,MF,MF"
XP_003658508.1,"GO:0042025,GO:0006355,GO:0000981,GO:0008270,GO:0006351,GO:0005634,GO:0003677,GO:0008270","host cell nucleus,regulation of transcription, DNA-templated,DNA-binding transcription factor activity, RNA polymerase II-specific,zinc ion binding,transcription, DNA-templated,nucleus,DNA binding,zinc ion binding","CC,BP,MF,MF,BP,CC,MF,MF"
XP_003658510.1,GO:0016491,oxidoreductase activity,MF
XP_003658512.1,"GO:0020037,GO:0019825,GO:0016491,GO:0055114,GO:0020037,GO:0008941,GO:0019825,GO:0020037,GO:0051409,GO:0071949,GO:0055114","heme binding,oxygen binding,oxidoreductase activity,oxidation-reduction process,heme binding,nitric oxide dioxygenase activity,oxygen binding,heme binding,response to nitrosative stress,FAD binding,oxidation-reduction process","MF,MF,MF,BP,MF,MF,MF,MF,BP,MF,BP"
XP_003658513.1,GO:0005515,protein binding,MF
XP_003658515.1,"GO:0008270,GO:0005509","zinc ion binding,calcium ion binding","MF,MF"
XP_003658516.1,"GO:0042147,GO:0000938","retrograde transport, endosome to Golgi,GARP complex","BP,CC"
XP_003658518.1,"GO:0004831,GO:0005524,GO:0006437,GO:0000166,GO:0003723,GO:0004831,GO:0005524,GO:0004812,GO:0006418,GO:0000166","tyrosine-tRNA ligase activity,ATP binding,tyrosyl-tRNA aminoacylation,nucleotide binding,RNA binding,tyrosine-tRNA ligase activity,ATP binding,aminoacyl-tRNA ligase activity,tRNA aminoacylation for protein translation,nucleotide binding","MF,MF,BP,MF,MF,MF,MF,MF,BP,MF"
XP_003658519.1,"GO:0016020,GO:0005740,GO:0016021","membrane,mitochondrial envelope,integral component of membrane","CC,CC,CC"
XP_003658520.1,"GO:0042025,GO:0006355,GO:0000981,GO:0008270,GO:0006351,GO:0005634,GO:0003677,GO:0008270","host cell nucleus,regulation of transcription, DNA-templated,DNA-binding transcription factor activity, RNA polymerase II-specific,zinc ion binding,transcription, DNA-templated,nucleus,DNA binding,zinc ion binding","CC,BP,MF,MF,BP,CC,MF,MF"
XP_003658527.1,"GO:0000813,GO:0032509","ESCRT I complex,endosome transport via multivesicular body sorting pathway","CC,BP"
XP_003658528.1,"GO:0007005,GO:0045040,GO:0032865,GO:0008289","mitochondrion organization,protein insertion into mitochondrial outer membrane,ERMES complex,lipid binding","BP,BP,CC,MF"
XP_003658529.1,GO:0003677,DNA binding,MF
XP_003658532.1,"GO:0008033,GO:0004526,GO:0003824","tRNA processing,ribonuclease P activity,catalytic activity","BP,MF,MF"
XP_003658534.1,GO:0016846,carbon-sulfur lyase activity,MF
XP_003658535.1,GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",MF
XP_003658536.1,"GO:0006357,GO:0016592,GO:0003712","regulation of transcription by RNA polymerase II,mediator complex,transcription coregulator activity","BP,CC,MF"
XP_003658537.1,"GO:0008484,GO:0003824","sulfuric ester hydrolase activity,catalytic activity","MF,MF"
XP_003658540.1,GO:0003677,DNA binding,MF
XP_003658543.1,"GO:0003824,GO:0005975,GO:0030246,GO:0030246,GO:0016853,GO:0005975","catalytic activity,carbohydrate metabolic process,carbohydrate binding,carbohydrate binding,isomerase activity,carbohydrate metabolic process","MF,BP,MF,MF,MF,BP"
XP_003658544.1,"GO:0003824,GO:0003849,GO:0009073","catalytic activity,3-deoxy-7-phosphoheptulonate synthase activity,aromatic amino acid family biosynthetic process","MF,MF,BP"
XP_003658546.1,"GO:0030001,GO:0046872,GO:0016021,GO:0016021,GO:0006812,GO:0019829,GO:0005507,GO:0000166","metal ion transport,metal ion binding,integral component of membrane,integral component of membrane,cation transport,ATPase-coupled cation transmembrane transporter activity,copper ion binding,nucleotide binding","BP,MF,CC,CC,BP,MF,MF,MF"
XP_003658550.1,"GO:0006468,GO:0005524,GO:0004672,GO:0005524,GO:0006468,GO:0004672","protein phosphorylation,ATP binding,protein kinase activity,ATP binding,protein phosphorylation,protein kinase activity","BP,MF,MF,MF,BP,MF"
XP_003658552.1,GO:0005515,protein binding,MF
XP_003658554.1,"GO:0005524,GO:0016021,GO:0005524,GO:0016887,GO:0055085,GO:0005524,GO:0042626,GO:0016021","ATP binding,integral component of membrane,ATP binding,ATPase activity,transmembrane transport,ATP binding,ATPase-coupled transmembrane transporter activity,integral component of membrane","MF,CC,MF,MF,BP,MF,MF,CC"
XP_003658555.1,GO:0005515,protein binding,MF
XP_003658559.1,GO:0046872,metal ion binding,MF
XP_003658560.1,"GO:0016491,GO:0055114,GO:0055114,GO:0016491,GO:0005737,GO:0004791,GO:0019430,GO:0055114,GO:0016491,GO:0008270","oxidoreductase activity,oxidation-reduction process,oxidation-reduction process,oxidoreductase activity,cytoplasm,thioredoxin-disulfide reductase activity,removal of superoxide radicals,oxidation-reduction process,oxidoreductase activity,zinc ion binding","MF,BP,BP,MF,CC,MF,BP,BP,MF,MF"
XP_003658567.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_003658568.1,"GO:0016459,GO:0005524,GO:0003774,GO:0005515,GO:0016459,GO:0003774","myosin complex,ATP binding,motor activity,protein binding,myosin complex,motor activity","CC,MF,MF,MF,CC,MF"
XP_003658570.1,"GO:0005789,GO:0019706,GO:0016409","endoplasmic reticulum membrane,protein-cysteine S-palmitoyltransferase activity,palmitoyltransferase activity","CC,MF,MF"
XP_003658572.1,"GO:0005975,GO:0008061","carbohydrate metabolic process,chitin binding","BP,MF"
XP_003658574.1,GO:0005515,protein binding,MF
XP_003658575.1,GO:0016021,integral component of membrane,CC
XP_003658576.1,GO:0070569,uridylyltransferase activity,MF
XP_003658577.1,"GO:0006281,GO:0019104","DNA repair,DNA N-glycosylase activity","BP,MF"
XP_003658581.1,"GO:0005515,GO:0005634,GO:0003676","protein binding,nucleus,nucleic acid binding","MF,CC,MF"
XP_003658583.1,"GO:0034477,GO:0004518","U6 snRNA 3'-end processing,nuclease activity","BP,MF"
XP_003658584.1,"GO:0005783,GO:0016671,GO:0003756,GO:0055114","endoplasmic reticulum,oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor,protein disulfide isomerase activity,oxidation-reduction process","CC,MF,MF,BP"
XP_003658585.1,GO:0016538,cyclin-dependent protein serine/threonine kinase regulator activity,MF
XP_003658586.1,"GO:0005515,GO:0006338,GO:0016586","protein binding,chromatin remodeling,RSC-type complex","MF,BP,CC"
XP_003658588.1,"GO:0005515,GO:0048188","protein binding,Set1C/COMPASS complex","MF,CC"
XP_003658589.1,"GO:0006400,GO:0000287,GO:0008193","tRNA modification,magnesium ion binding,tRNA guanylyltransferase activity","BP,MF,MF"
XP_003658591.1,"GO:0006351,GO:0003899,GO:0003677,GO:0006351,GO:0003677,GO:0003899,GO:0006366,GO:0003677","transcription, DNA-templated,DNA-directed 5'-3' RNA polymerase activity,DNA binding,transcription, DNA-templated,DNA binding,DNA-directed 5'-3' RNA polymerase activity,transcription by RNA polymerase II,DNA binding","BP,MF,MF,BP,MF,MF,BP,MF"
XP_003658596.1,"GO:0006413,GO:0003723,GO:0003743,GO:0005737,GO:0006413,GO:0003743,GO:0003723","translational initiation,RNA binding,translation initiation factor activity,cytoplasm,translational initiation,translation initiation factor activity,RNA binding","BP,MF,MF,CC,BP,MF,MF"
XP_003658597.1,GO:0003824,catalytic activity,MF
XP_003658600.1,"GO:0046488,GO:0016307,GO:0046872,GO:0005524","phosphatidylinositol metabolic process,phosphatidylinositol phosphate kinase activity,metal ion binding,ATP binding","BP,MF,MF,MF"
XP_003658603.1,GO:0042025,host cell nucleus,CC
XP_003658605.1,"GO:0030411,GO:0006582","scytalone dehydratase activity,melanin metabolic process","MF,BP"
XP_003658607.1,GO:0005515,protein binding,MF
XP_003658608.1,"GO:0009435,GO:0004514,GO:0009435,GO:0004516","NAD biosynthetic process,nicotinate-nucleotide diphosphorylase (carboxylating) activity,NAD biosynthetic process,nicotinate phosphoribosyltransferase activity","BP,MF,BP,MF"
XP_003658610.1,"GO:0015078,GO:0000276,GO:0015986","proton transmembrane transporter activity,mitochondrial proton-transporting ATP synthase complex, coupling factor F(o),ATP synthesis coupled proton transport","MF,CC,BP"
XP_003658611.1,GO:0055114,oxidation-reduction process,BP
XP_003658612.1,"GO:0006886,GO:0005783,GO:0016021","intracellular protein transport,endoplasmic reticulum,integral component of membrane","BP,CC,CC"
XP_003658615.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_003658616.1,GO:0005515,protein binding,MF
XP_003658617.1,"GO:0006351,GO:0003677,GO:0003899,GO:0006351,GO:0003677,GO:0003899,GO:0008270","transcription, DNA-templated,DNA binding,DNA-directed 5'-3' RNA polymerase activity,transcription, DNA-templated,DNA binding,DNA-directed 5'-3' RNA polymerase activity,zinc ion binding","BP,MF,MF,BP,MF,MF,MF"
XP_003658621.1,"GO:0071596,GO:0061630","ubiquitin-dependent protein catabolic process via the N-end rule pathway,ubiquitin protein ligase activity","BP,MF"
XP_003658622.1,"GO:0030286,GO:0007017,GO:0005875,GO:0007017","dynein complex,microtubule-based process,microtubule associated complex,microtubule-based process","CC,BP,CC,BP"
XP_003658623.1,GO:0003676,nucleic acid binding,MF
XP_003658624.1,"GO:0003700,GO:0006355","DNA-binding transcription factor activity,regulation of transcription, DNA-templated","MF,BP"
XP_003658626.1,"GO:0003755,GO:0000413,GO:0003755,GO:0006457,GO:0003755","peptidyl-prolyl cis-trans isomerase activity,protein peptidyl-prolyl isomerization,peptidyl-prolyl cis-trans isomerase activity,protein folding,peptidyl-prolyl cis-trans isomerase activity","MF,BP,MF,BP,MF"
XP_003658627.1,"GO:0050660,GO:0008033,GO:0017150,GO:0055114,GO:0003824,GO:0050660,GO:0008033,GO:0055114,GO:0017150","flavin adenine dinucleotide binding,tRNA processing,tRNA dihydrouridine synthase activity,oxidation-reduction process,catalytic activity,flavin adenine dinucleotide binding,tRNA processing,oxidation-reduction process,tRNA dihydrouridine synthase activity","MF,BP,MF,BP,MF,MF,BP,BP,MF"
XP_003658628.1,GO:0005515,protein binding,MF
XP_003658631.1,GO:0005515,protein binding,MF
XP_003658632.1,"GO:0005515,GO:0010997,GO:1904668,GO:0097027","protein binding,anaphase-promoting complex binding,positive regulation of ubiquitin protein ligase activity,ubiquitin-protein transferase activator activity","MF,MF,BP,MF"
XP_003658633.1,"GO:0005672,GO:0006367","transcription factor TFIIA complex,transcription initiation from RNA polymerase II promoter","CC,BP"
