query_id,subject_id,identity,alignment length,mismatches,gap,q.start,q.end,s.start,s.end,e-value,bit score
XP_011392830.1,CAC9928513.1 GH0: Glycoside Hydrolases (GHs) ,49.4,261,126,3,15,270,14,273,2.2e-69,267.3
XP_011392846.1,VUW51410.1 GT4: GlycosylTransferases (GTs) ,45.7,258,121,7,38,294,448,687,3.7e-49,199.5
XP_011392847.1,VUW51410.1 GT4: GlycosylTransferases (GTs) ,45.7,258,121,7,38,294,448,687,3.7e-49,199.5
XP_011392852.1,QKX53450.1 GH81: Glycoside Hydrolases (GHs) ,51.2,168,82,0,414,581,1181,1348,1.6e-40,171.0
XP_011392853.1,AAF79504.1 GH36: Glycoside Hydrolases (GHs) AAF79504.1: Auxiliary Activities (AAs) ,42.3,168,93,2,626,789,987,1154,4.8e-24,116.7
XP_011392854.1,QKX53450.1 GH81: Glycoside Hydrolases (GHs) ,51.2,168,82,0,374,541,1181,1348,1.5e-40,171.0
XP_011392865.1,AWK41296.1 GT51: GlycosylTransferases (GTs) ,45.6,149,74,5,53,198,5,149,2.3e-25,119.4
XP_011392866.1,AWK41296.1 GT51: GlycosylTransferases (GTs) ,55.4,231,98,4,53,280,5,233,1.9e-68,262.7
XP_011392895.1,XP_329102.1 GT39: GlycosylTransferases (GTs) ,100.0,980,0,0,1,980,1,980,0.0,1980.3
XP_011392896.1,XP_329102.1 GT39: GlycosylTransferases (GTs) ,100.0,980,0,0,1,980,1,980,0.0,1980.3
XP_011392950.1,EAA35018.1 GH18: Glycoside Hydrolases (GHs) ,100.0,1366,0,0,1,1366,69,1434,0.0,1380.2
XP_011392951.1,EAA35018.1 GH18: Glycoside Hydrolases (GHs) ,100.0,1434,0,0,1,1434,1,1434,0.0,1519.6
XP_011392971.1,CAE76419.1 GH31: Glycoside Hydrolases (GHs) ,100.0,1044,0,0,1,1044,1,1044,0.0,2159.4
XP_011392972.1,CAE76419.1 GH31: Glycoside Hydrolases (GHs) ,100.0,1044,0,0,180,1223,1,1044,0.0,2161.7
XP_011392998.1,EAA36205.1 GH132: Glycoside Hydrolases (GHs) ,100.0,445,0,0,1,445,1,445,1.4e-246,855.1
XP_011393014.1,CAN61133.1 GH36: Glycoside Hydrolases (GHs) ,50.6,79,39,0,3,81,1038,1116,3.5e-13,78.6
XP_011393015.1,CAN61133.1 GH36: Glycoside Hydrolases (GHs) ,50.6,79,39,0,3,81,1038,1116,3.6e-13,78.6
XP_011393142.1,QKD47835.1 AA2: Auxiliary Activities (AAs) ,75.9,348,81,2,12,357,10,356,9e-156,553.1
XP_011393143.1,QKD47835.1 AA2: Auxiliary Activities (AAs) ,75.9,348,81,2,12,357,10,356,9e-156,553.1
XP_011393144.1,QKD47835.1 AA2: Auxiliary Activities (AAs) ,75.9,348,81,2,12,357,10,356,9e-156,553.1
XP_011393152.1,XP_327633.1 GH17: Glycoside Hydrolases (GHs) ,94.8,764,0,1,1,724,1,764,0.0,1444.5
XP_011393153.1,XP_327633.1 GH17: Glycoside Hydrolases (GHs) ,100.0,764,0,0,1,764,1,764,0.0,1539.2
XP_011393179.1,QHO46828.1 GH38: Glycoside Hydrolases (GHs) ,52.6,57,27,0,292,348,225,281,2.6e-10,70.5
XP_011393180.1,QHO46828.1 GH38: Glycoside Hydrolases (GHs) ,52.6,57,27,0,292,348,225,281,2.6e-10,70.5
XP_011393189.1,QDK56813.1 GH28: Glycoside Hydrolases (GHs) ,72.7,128,34,1,53,180,500,626,2.8e-44,181.8
XP_011393190.1,QDK56813.1 GH28: Glycoside Hydrolases (GHs) ,72.7,128,34,1,53,180,500,626,2.8e-44,181.8
XP_011393191.1,BAC83070.1 GH17: Glycoside Hydrolases (GHs) CBM43: Carbohydrate-Binding Modules (CBMs) ,41.5,130,72,2,25,154,526,651,4.9e-19,97.8
XP_011393215.1,CAC9914360.1 GT8: GlycosylTransferases (GTs) ,76.3,80,19,0,1,80,1,80,3.9e-28,127.1
XP_011393216.1,CAC9914360.1 GT8: GlycosylTransferases (GTs) ,76.3,80,19,0,1,80,1,80,3.9e-28,127.1
XP_011393243.1,QDS71450.1 GH47: Glycoside Hydrolases (GHs) ,42.3,319,168,7,14,316,1038,1356,2e-66,256.5
XP_011393244.1,QDS71450.1 GH47: Glycoside Hydrolases (GHs) ,42.3,319,168,7,14,316,1038,1356,2e-66,256.5
XP_011393245.1,QDS71450.1 GH47: Glycoside Hydrolases (GHs) ,42.3,319,168,7,14,316,1038,1356,2e-66,256.5
XP_011393274.1,AAB03563.1 GT2: GlycosylTransferases (GTs) AAB03563.1: Auxiliary Activities (AAs) ,99.8,1195,2,0,41,1235,1,1195,0.0,2337.4
XP_011393275.1,AAB03563.1 GT2: GlycosylTransferases (GTs) AAB03563.1: Auxiliary Activities (AAs) ,99.8,1195,2,0,41,1235,1,1195,0.0,2337.4
XP_011393290.1,QKD62991.1 GH12: Glycoside Hydrolases (GHs) ,40.5,257,139,5,384,638,1412,1656,6.8e-44,183.3
XP_011393291.1,QKD62991.1 GH12: Glycoside Hydrolases (GHs) ,40.5,257,139,5,384,638,1412,1656,6.9e-44,183.3
XP_011393292.1,QKD62991.1 GH12: Glycoside Hydrolases (GHs) ,40.5,257,139,5,384,638,1412,1656,5e-44,183.3
XP_011393300.1,AEO55772.1 GH78: Glycoside Hydrolases (GHs) ,61.3,781,301,1,41,821,31,810,4.2e-281,970.7
XP_011393301.1,AEO55772.1 GH78: Glycoside Hydrolases (GHs) ,61.3,781,301,1,41,821,31,810,4.2e-281,970.7
XP_011393313.1,EDO65100.1 GH20: Glycoside Hydrolases (GHs) ,93.5,628,0,1,1,587,1,628,0.0,1192.2
XP_011393314.1,EDO65100.1 GH20: Glycoside Hydrolases (GHs) ,100.0,628,0,0,1,628,1,628,0.0,1259.6
XP_011393324.1,VBB84860.1 CBM18: Carbohydrate-Binding Modules (CBMs) ,56.7,351,84,9,8,305,12,347,8.8e-67,257.3
XP_011393370.1,QKX56902.1 PL35: Polysaccharide Lyases (PLs) ,58.6,181,74,1,15,194,5,185,4.5e-56,221.1
XP_011393381.1,XP_330690.1 GH5_24: Glycoside Hydrolases (GHs) ,86.6,815,5,2,4,818,527,1237,0.0,1385.9
XP_011393435.1,EAA36355.1 GH75: Glycoside Hydrolases (GHs) ,99.3,277,2,0,4,280,298,574,1.3e-101,372.9
XP_011393513.1,QDS76178.1 GH42: Glycoside Hydrolases (GHs) ,40.7,118,63,3,2044,2155,885,1001,1.5e-11,76.6
XP_011393514.1,QDS76178.1 GH42: Glycoside Hydrolases (GHs) ,40.7,118,63,3,2044,2155,885,1001,1.5e-11,76.6
XP_011393540.1,CEF62298.1 GT4: GlycosylTransferases (GTs) CEF62298.1: Carbohydrate Esterases (CEs) ,48.6,185,92,2,91,274,4,186,1.6e-45,186.8
XP_011393541.1,CEF62298.1 GT4: GlycosylTransferases (GTs) CEF62298.1: Carbohydrate Esterases (CEs) ,48.6,185,92,2,22,205,4,186,1.3e-45,186.8
XP_011393580.1,CAB91480.2 GH13_8: Glycoside Hydrolases (GHs) CBM48: Carbohydrate-Binding Modules (CBMs) ,100.0,695,0,0,1,695,1,695,0.0,1448.3
XP_011393581.1,CAB91480.2 GH13_8: Glycoside Hydrolases (GHs) CBM48: Carbohydrate-Binding Modules (CBMs) ,100.0,695,0,0,1,695,1,695,0.0,1448.3
XP_011393638.1,VDC86155.1 GT95: GlycosylTransferases (GTs) ,76.6,304,70,1,9,312,74,376,6.7e-131,470.3
XP_011393639.1,VDC86155.1 GT95: GlycosylTransferases (GTs) ,79.1,201,42,0,9,209,74,274,2.2e-88,328.6
XP_011393730.1,CEF62930.1 GT2: GlycosylTransferases (GTs) CEF62930.1: Carbohydrate Esterases (CEs) ,44.0,241,129,3,273,513,538,772,6.5e-49,198.7
XP_011393731.1,CEF62930.1 GT2: GlycosylTransferases (GTs) CEF62930.1: Carbohydrate Esterases (CEs) ,44.0,241,129,3,273,513,538,772,6.5e-49,198.7
XP_011393758.1,EAA26947.1 GH1: Glycoside Hydrolases (GHs) ,100.0,476,0,0,1,476,1,476,4.1e-297,1023.1
XP_011393759.1,EAA26947.1 GH1: Glycoside Hydrolases (GHs) ,100.0,476,0,0,1,476,1,476,4.1e-297,1023.1
XP_011393797.1,XP_322330.1 GT8: GlycosylTransferases (GTs) ,100.0,311,0,0,1,311,1,311,1.5e-186,655.2
XP_011393798.1,XP_322330.1 GT8: GlycosylTransferases (GTs) ,100.0,311,0,0,1,311,1,311,1.5e-186,655.2
XP_011393846.1,QBZ61375.1 GH131: Glycoside Hydrolases (GHs) ,66.0,647,188,9,42,664,26,664,5.9e-233,810.4
XP_011393847.1,QBZ61375.1 GH131: Glycoside Hydrolases (GHs) ,66.0,647,188,9,42,664,26,664,5.9e-233,810.4
XP_011393887.1,VDD34219.1 GH3: Glycoside Hydrolases (GHs) ,51.9,324,138,5,3,323,1003,1311,1.2e-77,293.5
XP_011393888.1,VDD34219.1 GH3: Glycoside Hydrolases (GHs) ,51.9,324,138,5,3,323,1003,1311,1.2e-77,293.5
XP_011393916.1,VDC59046.1 GH38: Glycoside Hydrolases (GHs) ,51.7,143,64,4,107,248,1038,1176,4.1e-28,128.6
XP_011393917.1,VDC59046.1 GH38: Glycoside Hydrolases (GHs) ,51.7,143,64,4,55,196,1038,1176,3.3e-28,128.6
XP_011393920.1,CEF62298.1 GT4: GlycosylTransferases (GTs) CEF62298.1: Carbohydrate Esterases (CEs) ,60.9,169,66,0,6,174,8,176,1.3e-55,219.5
XP_011393921.1,CEF62298.1 GT4: GlycosylTransferases (GTs) CEF62298.1: Carbohydrate Esterases (CEs) ,59.2,120,49,0,9,128,57,176,1.5e-35,152.5
XP_011393955.1,XP_328933.1 GH12: Glycoside Hydrolases (GHs) ,100.0,321,0,0,1,321,1,321,1.1e-184,649.0
XP_011393956.1,XP_328933.1 GH12: Glycoside Hydrolases (GHs) ,100.0,232,0,0,1,232,90,321,5.500000000000001e-130,466.8
XP_011393964.1,XP_330896.1 CBM21: Carbohydrate-Binding Modules (CBMs) ,98.1,864,0,1,1,848,1,864,0.0,1499.2
XP_011393965.1,XP_330896.1 CBM21: Carbohydrate-Binding Modules (CBMs) ,98.0,811,0,1,1,795,1,811,0.0,1479.2
XP_011393997.1,XP_003712193.1 CBM50: Carbohydrate-Binding Modules (CBMs) ,65.4,52,18,0,1,52,1,52,9e-15,84.3
XP_011394012.1,XP_329867.1 CE4: Carbohydrate Esterases (CEs) ,86.4,420,10,2,1,420,288,660,1.4e-184,649.0
XP_011394064.1,QBZ63730.1 GT32: GlycosylTransferases (GTs) ,42.0,388,168,7,3,390,52,382,1.4e-72,276.9
XP_011394116.1,AOZ95200.1 GH43_35: Glycoside Hydrolases (GHs) ,40.9,132,68,3,112,240,86,210,5.8e-15,86.3
XP_011394117.1,AOZ95200.1 GH43_35: Glycoside Hydrolases (GHs) ,40.9,132,68,3,112,240,86,210,5.8e-15,86.3
XP_011394129.1,CAF06108.1 GH128: Glycoside Hydrolases (GHs) ,97.7,383,9,0,616,998,49,431,5e-220,768.1
XP_011394134.1,ACI49189.1 GH13_8: Glycoside Hydrolases (GHs) CBM48: Carbohydrate-Binding Modules (CBMs) ,52.3,65,29,1,79,141,1034,1098,1e-09,68.6
XP_011394135.1,ACI49189.1 GH13_8: Glycoside Hydrolases (GHs) CBM48: Carbohydrate-Binding Modules (CBMs) ,52.3,65,29,1,79,141,1034,1098,1e-09,68.6
XP_011394166.1,XP_326181.1 PL1: Polysaccharide Lyases (PLs) ,81.9,331,0,3,1,331,1,271,5.8e-141,503.8
XP_011394221.1,CCF37665.1 CBM50: Carbohydrate-Binding Modules (CBMs) ,42.7,150,76,2,162,308,37,179,5.2e-27,125.2
XP_011394302.1,QKX58543.1 GT58: GlycosylTransferases (GTs) ,46.8,139,53,5,3,121,2,139,7.7e-22,106.7
XP_011394303.1,QKX58543.1 GT58: GlycosylTransferases (GTs) ,46.8,139,53,5,3,121,2,139,7.7e-22,106.7
XP_011394358.1,XP_324211.1 GH7: Glycoside Hydrolases (GHs) ,100.0,277,0,0,1,277,492,768,1.7e-170,601.7
XP_011394389.1,VBB83868.1 CBM50: Carbohydrate-Binding Modules (CBMs) ,52.2,647,250,17,1,608,1,627,2.5e-158,562.4
XP_011394420.1,XP_327614.1 GT59: GlycosylTransferases (GTs) ,100.0,89,0,0,1,89,1,89,1.6e-45,184.9
XP_011394421.1,XP_327614.1 GT59: GlycosylTransferases (GTs) ,87.6,761,1,1,11,771,108,775,0.0,1175.2
XP_011394447.1,QIX01917.1 GH128: Glycoside Hydrolases (GHs) ,61.2,260,85,5,1,257,1,247,7.1e-86,320.5
XP_011394481.1,SMY24715.1 CE16: Carbohydrate Esterases (CEs) ,48.2,164,83,2,36,197,8,171,6.4e-37,157.5
XP_011394482.1,SMY24715.1 CE16: Carbohydrate Esterases (CEs) ,48.2,164,83,2,36,197,8,171,6.7e-37,157.9
XP_011394537.1,QCD77328.1 GH36: Glycoside Hydrolases (GHs) ,41.6,149,85,2,19,167,747,893,1.6e-27,126.3
XP_011394553.1,EAA32132.2 GH3: Glycoside Hydrolases (GHs) ,100.0,601,0,0,44,644,227,827,0.0,1221.5
XP_011394554.1,EAA32132.2 GH3: Glycoside Hydrolases (GHs) ,92.1,894,0,2,1,890,1,827,0.0,1640.9
XP_011394555.1,VBB76056.1 AA0: Auxiliary Activities (AAs) ,62.2,769,237,11,1,761,81,803,1.4e-246,855.9
XP_011394556.1,VBB76056.1 AA0: Auxiliary Activities (AAs) ,63.4,839,251,13,8,836,11,803,3.8e-277,957.6
XP_011394559.1,CAC18158.1 GH63: Glycoside Hydrolases (GHs) ,100.0,834,0,0,1,834,1,834,0.0,1727.6
XP_011394560.1,CAC18158.1 GH63: Glycoside Hydrolases (GHs) ,100.0,828,0,0,1,828,1,828,0.0,1714.9
XP_011394566.1,QKD60584.1 GT1: GlycosylTransferases (GTs) ,49.0,51,26,0,3,53,712,762,1.9e-06,57.8
XP_011394567.1,QKD60584.1 GT1: GlycosylTransferases (GTs) ,49.0,51,26,0,3,53,712,762,2.1e-06,57.8
XP_011394610.1,CAC9928513.1 GH0: Glycoside Hydrolases (GHs) ,47.8,134,66,2,4,133,171,304,2.1e-25,120.9
XP_011394611.1,CAC9928513.1 GH0: Glycoside Hydrolases (GHs) ,47.9,290,139,5,10,290,18,304,3.1e-66,256.9
XP_011394625.1,SVE69766.1 GT4: GlycosylTransferases (GTs) ,89.7,39,4,0,2,40,396,434,6.8e-13,78.6
XP_011394626.1,SVE69766.1 GT4: GlycosylTransferases (GTs) ,89.7,39,4,0,2,40,396,434,6.8e-13,78.6
XP_011394644.1,SMQ49497.1 AA3_2: Auxiliary Activities (AAs) ,46.3,356,148,8,97,435,562,891,2.6e-73,279.6
XP_011394645.1,SMQ49497.1 AA3_2: Auxiliary Activities (AAs) ,46.3,356,148,8,97,435,562,891,2.6e-73,279.6
XP_011394646.1,SMQ49497.1 AA3_2: Auxiliary Activities (AAs) ,46.3,356,148,8,97,435,562,891,2.6e-73,279.6
XP_011394664.1,SVE84708.1 GH9: Glycoside Hydrolases (GHs) ,42.1,929,502,12,3,916,417,1324,2.5e-85,320.5
XP_011394695.1,AAC98780.2 GT3: GlycosylTransferases (GTs) AAC98780.2: Auxiliary Activities (AAs) ,100.0,706,0,0,1,706,1,706,0.0,1438.7
XP_011394696.1,AAC98780.2 GT3: GlycosylTransferases (GTs) AAC98780.2: Auxiliary Activities (AAs) ,100.0,706,0,0,1,706,1,706,0.0,1438.7
XP_011394697.1,AAC98780.2 GT3: GlycosylTransferases (GTs) AAC98780.2: Auxiliary Activities (AAs) ,100.0,706,0,0,1,706,1,706,0.0,1438.7
XP_011394698.1,AAC98780.2 GT3: GlycosylTransferases (GTs) AAC98780.2: Auxiliary Activities (AAs) ,100.0,706,0,0,1,706,1,706,0.0,1438.7
XP_011394701.1,CAD70922.1 GT8: GlycosylTransferases (GTs) ,100.0,571,0,0,1,571,1,571,0.0,1081.6
XP_011394702.1,CAD70922.1 GT8: GlycosylTransferases (GTs) ,100.0,686,0,0,1,686,1,686,0.0,1305.0
XP_011394750.1,EDO64991.1 GH0: Glycoside Hydrolases (GHs) ,100.0,411,0,0,1,411,1,411,1.7e-219,765.0
XP_011394751.1,EDO64991.1 GH0: Glycoside Hydrolases (GHs) ,100.0,411,0,0,1,411,1,411,1.7e-219,765.0
XP_011394754.1,CEF68073.1 GT92: GlycosylTransferases (GTs) CEF68073.1: Carbohydrate Esterases (CEs) ,43.8,192,101,1,330,521,55,239,1.1e-37,161.4
XP_011394755.1,CEF68073.1 GT92: GlycosylTransferases (GTs) CEF68073.1: Carbohydrate Esterases (CEs) ,43.8,192,101,1,330,521,55,239,1.1e-37,161.4
XP_011394779.1,ALS30162.1 CBM9: Carbohydrate-Binding Modules (CBMs) ,44.6,56,31,0,44,99,1065,1120,4.4e-06,55.8
XP_011394780.1,ALS30162.1 CBM9: Carbohydrate-Binding Modules (CBMs) ,44.6,56,31,0,44,99,1065,1120,4.4e-06,55.8
XP_011394849.1,ATX68040.1 GH18: Glycoside Hydrolases (GHs) CBM14: Carbohydrate-Binding Modules (CBMs) ,44.4,142,70,2,163,295,7,148,1.1e-29,135.2
XP_011394876.1,CAP61721.1 CBM48: Carbohydrate-Binding Modules (CBMs) ,44.8,705,250,13,1,669,1,602,1.1e-90,338.2
XP_011394877.1,CAP61721.1 CBM48: Carbohydrate-Binding Modules (CBMs) ,48.3,466,175,7,140,569,167,602,1.7e-52,211.1
XP_011394935.1,QIW96760.1 GH51: Glycoside Hydrolases (GHs) ,42.6,68,38,1,349,416,819,885,5.8e-08,62.4
XP_011394936.1,QIW96760.1 GH51: Glycoside Hydrolases (GHs) ,42.6,68,38,1,349,416,819,885,5.8e-08,62.4
XP_011394941.1,XP_957109.1 GT90: GlycosylTransferases (GTs) ,97.4,783,2,1,1,783,1,765,0.0,1512.7
XP_011394948.1,XP_324973.1 GT20: GlycosylTransferases (GTs) ,91.3,23,2,0,43,65,143,165,0.00082,47.4
XP_011394992.1,EAA29582.1 GH71: Glycoside Hydrolases (GHs) CBM24: Carbohydrate-Binding Modules (CBMs) ,100.0,596,0,0,1,596,1,596,0.0,1229.2
XP_011394993.1,EAA29582.1 GH71: Glycoside Hydrolases (GHs) CBM24: Carbohydrate-Binding Modules (CBMs) ,100.0,596,0,0,1,596,1,596,0.0,1229.2
XP_011394995.1,QKX53450.1 GH81: Glycoside Hydrolases (GHs) ,52.8,439,183,5,77,499,917,1347,1.7e-112,409.8
XP_011394996.1,QKX53450.1 GH81: Glycoside Hydrolases (GHs) ,52.8,439,183,5,77,499,917,1347,1.7e-112,409.8
XP_011395022.1,XP_323412.1 CE8: Carbohydrate Esterases (CEs) ,99.7,333,1,0,1,333,1,333,3.3e-184,647.5
XP_011395023.1,XP_323412.1 CE8: Carbohydrate Esterases (CEs) ,99.7,333,1,0,1,333,1,333,3.3e-184,647.5
XP_011395063.1,XP_957109.1 GT90: GlycosylTransferases (GTs) ,100.0,257,0,0,1,257,837,1093,6.1e-106,387.1
XP_011395065.1,QBZ55844.1 GH2: Glycoside Hydrolases (GHs) ,51.1,178,69,6,2,174,1089,1253,7.3e-34,147.1
XP_011395075.1,SVE78114.1 GT61: GlycosylTransferases (GTs) ,43.8,80,41,2,23,102,498,573,2.7e-08,63.2
XP_011395077.1,QKD62239.1 GH31: Glycoside Hydrolases (GHs) ,43.4,249,138,3,5,251,4,251,1.4e-55,219.9
XP_011395087.1,EAA31326.1 GH71: Glycoside Hydrolases (GHs) ,92.8,401,2,1,1,401,42,415,1.8e-224,781.6
XP_011395093.1,AEO59264.1 GT1: GlycosylTransferases (GTs) ,52.6,234,103,3,72,299,37,268,5.1e-57,224.9
XP_011395094.1,AEO59264.1 GT1: GlycosylTransferases (GTs) ,49.7,179,84,2,72,244,37,215,8.8e-37,157.5
XP_011395113.1,EAA30258.1 GH47: Glycoside Hydrolases (GHs) ,100.0,956,0,0,1,956,1,956,0.0,1889.8
XP_011395114.1,EAA30258.1 GH47: Glycoside Hydrolases (GHs) ,100.0,956,0,0,1,956,1,956,0.0,1889.8
XP_011395131.1,EAA57680.1 GH79: Glycoside Hydrolases (GHs) ,51.1,479,216,7,108,581,1324,1789,2.5e-126,456.1
XP_011395132.1,EAA57680.1 GH79: Glycoside Hydrolases (GHs) ,51.4,467,209,7,2,463,1336,1789,1.4e-122,443.4
XP_011395161.1,VDC80439.1 GH28: Glycoside Hydrolases (GHs) ,43.5,108,57,2,244,351,417,520,2.2e-13,80.1
XP_011395162.1,VDC80439.1 GH28: Glycoside Hydrolases (GHs) ,43.5,108,57,2,244,351,417,520,2.2e-13,80.1
XP_011395182.1,SVE78114.1 GT61: GlycosylTransferases (GTs) ,41.6,89,48,1,21,109,504,588,9.4e-11,72.0
XP_011395193.1,QHN73882.1 AA10: Auxiliary Activities (AAs) ,82.9,76,13,0,1,76,20,95,1.4e-28,129.4
XP_011395194.1,QHN73882.1 AA10: Auxiliary Activities (AAs) ,82.9,76,13,0,1,76,20,95,1.4e-28,129.4
XP_011395205.1,AHO16406.1 GH13_11: Glycoside Hydrolases (GHs) ,46.2,368,169,5,78,445,5,343,1.7e-81,307.0
XP_011395206.1,AHO16406.1 GH13_11: Glycoside Hydrolases (GHs) ,46.2,368,169,5,78,445,5,343,1.7e-81,307.0
XP_011395209.1,QKD55254.1 GH35: Glycoside Hydrolases (GHs) ,41.8,337,191,4,62,397,571,903,2.3e-75,286.2
XP_011395210.1,QKD55254.1 GH35: Glycoside Hydrolases (GHs) ,41.8,337,191,4,62,397,571,903,2.3e-75,286.2
XP_011395281.1,XP_331434.1 GH2: Glycoside Hydrolases (GHs) ,100.0,1015,0,0,1,1015,1,1015,0.0,1932.1
XP_011395282.1,XP_331434.1 GH2: Glycoside Hydrolases (GHs) ,95.3,1015,18,1,1,985,1,1015,0.0,1864.7
XP_011395289.1,XP_331993.1 GT1: GlycosylTransferases (GTs) ,100.0,1553,0,0,1,1553,1,1553,0.0,3044.2
XP_011395290.1,XP_331993.1 GT1: GlycosylTransferases (GTs) ,100.0,1553,0,0,1,1553,1,1553,0.0,3044.2
XP_011395291.1,XP_331993.1 GT1: GlycosylTransferases (GTs) ,100.0,1553,0,0,1,1553,1,1553,0.0,3044.2
XP_011395294.1,QKX56746.1 AA3_2: Auxiliary Activities (AAs) ,48.9,1007,480,17,10,998,571,1560,7.6e-261,903.7
XP_011395295.1,QKX56746.1 AA3_2: Auxiliary Activities (AAs) ,48.9,1007,480,17,10,998,571,1560,7.6e-261,903.7
XP_011395327.1,EAA33997.1 GH18: Glycoside Hydrolases (GHs) ,97.0,397,7,1,3,399,70,461,1.2e-220,768.8
XP_011395328.1,EAA33997.1 GH18: Glycoside Hydrolases (GHs) ,99.7,356,1,0,24,379,501,856,2.1e-195,684.9
XP_011395330.1,XP_329941.1 CE4: Carbohydrate Esterases (CEs) ,100.0,104,0,0,1,104,190,293,1.2e-52,208.8
XP_011395355.1,XP_329941.1 CE4: Carbohydrate Esterases (CEs) ,90.1,101,7,1,1,101,43,140,6.9e-43,176.4
XP_011395385.1,XP_959572.1 GH79: Glycoside Hydrolases (GHs) ,100.0,399,0,0,1,399,1,399,3.7e-166,587.8
XP_011395402.1,CCT73859.1 GH32: Glycoside Hydrolases (GHs) ,66.7,135,45,0,16,150,14,148,2.5e-50,202.2
XP_955817.3,XP_324354.1 GH10: Glycoside Hydrolases (GHs) CBM1: Carbohydrate-Binding Modules (CBMs) ,99.8,431,1,0,1,431,1,431,1.3e-246,855.1
XP_955835.1,EAA26599.1 AA1_2: Auxiliary Activities (AAs) ,100.0,693,0,0,1,693,1,693,0.0,1379.0
XP_955840.1,CAD21070.1 GT4: GlycosylTransferases (GTs) ,100.0,471,0,0,1,471,1,471,2.8e-266,920.6
XP_955863.1,SMY24715.1 CE16: Carbohydrate Esterases (CEs) ,48.5,171,80,3,11,179,6,170,4e-37,159.1
XP_955880.3,QDS74481.1 CBM12: Carbohydrate-Binding Modules (CBMs) ,51.9,692,260,15,10,664,7,662,6.4e-180,634.8
XP_955892.1,CAD70347.1 AA9: Auxiliary Activities (AAs) ,100.0,231,0,0,1,231,1,231,1.1e-133,479.2
XP_955912.1,CAF05992.1 GT22: GlycosylTransferases (GTs) ,100.0,599,0,0,1,599,1,599,0.0,1235.3
XP_955931.1,CBX94234.1 GT22: GlycosylTransferases (GTs) ,61.0,377,141,5,80,451,737,1112,5.500000000000001e-126,454.5
XP_955932.1,QKX55064.1 GT20: GlycosylTransferases (GTs) ,48.4,221,108,2,6,226,446,660,4.3e-50,201.4
XP_955939.3,QHN82508.1 GT31: GlycosylTransferases (GTs) ,44.9,89,48,1,660,748,320,407,7.5e-14,84.3
