id,GO,ONTOLOGY,GO_type
XP_001728058.1,"GO:0005869,GO:0061640","dynactin complex,cytoskeleton-dependent cytokinesis","CC,BP"
XP_001728059.2,"GO:0005634,GO:0008033,GO:0004526","nucleus,tRNA processing,ribonuclease P activity","CC,BP,MF"
XP_001728061.1,"GO:0003755,GO:0006457,GO:0000413,GO:0003755,GO:0003755","peptidyl-prolyl cis-trans isomerase activity,protein folding,protein peptidyl-prolyl isomerization,peptidyl-prolyl cis-trans isomerase activity,peptidyl-prolyl cis-trans isomerase activity","MF,BP,BP,MF,MF"
XP_001728068.1,"GO:0004163,GO:0019287,GO:0005829,GO:0005524,GO:0008299,GO:0016831","diphosphomevalonate decarboxylase activity,isopentenyl diphosphate biosynthetic process, mevalonate pathway,cytosol,ATP binding,isoprenoid biosynthetic process,carboxy-lyase activity","MF,BP,CC,MF,BP,MF"
XP_001728069.2,GO:0071949,FAD binding,MF
XP_001728070.2,GO:0016491,oxidoreductase activity,MF
XP_001728077.1,"GO:0003824,GO:0004630,GO:0048017,GO:0006654","catalytic activity,phospholipase D activity,inositol lipid-mediated signaling,phosphatidic acid biosynthetic process","MF,MF,BP,BP"
XP_001728079.1,"GO:0051082,GO:0031072,GO:0051082,GO:0006457","unfolded protein binding,heat shock protein binding,unfolded protein binding,protein folding","MF,MF,MF,BP"
XP_001728088.2,"GO:0051287,GO:0050661,GO:0055114,GO:0016491,GO:0055114","NAD binding,NADP binding,oxidation-reduction process,oxidoreductase activity,oxidation-reduction process","MF,MF,BP,MF,BP"
XP_001728095.2,"GO:0019915,GO:0005789","lipid storage,endoplasmic reticulum membrane","BP,CC"
XP_001728096.1,"GO:0003877,GO:0009117,GO:0005524,GO:0003877","ATP adenylyltransferase activity,nucleotide metabolic process,ATP binding,ATP adenylyltransferase activity","MF,BP,MF,MF"
XP_001728128.1,GO:0008168,methyltransferase activity,MF
XP_001728129.1,GO:0071949,FAD binding,MF
XP_001728130.2,GO:0003824,catalytic activity,MF
XP_001728131.1,GO:0003824,catalytic activity,MF
XP_001728132.1,"GO:0003824,GO:0009058","catalytic activity,biosynthetic process","MF,BP"
XP_001728133.1,"GO:0005515,GO:0016567,GO:0004842,GO:0000974,GO:0061630,GO:0006281,GO:0000398","protein binding,protein ubiquitination,ubiquitin-protein transferase activity,Prp19 complex,ubiquitin protein ligase activity,DNA repair,mRNA splicing, via spliceosome","MF,BP,MF,CC,MF,BP,BP"
XP_001728134.1,"GO:0055114,GO:0050660,GO:0050661,GO:0004499,GO:0050661,GO:0055114,GO:0050660","oxidation-reduction process,flavin adenine dinucleotide binding,NADP binding,N,N-dimethylaniline monooxygenase activity,NADP binding,oxidation-reduction process,flavin adenine dinucleotide binding","BP,MF,MF,MF,MF,BP,MF"
XP_001728137.2,"GO:0005975,GO:0016773,GO:0042732,GO:0004856","carbohydrate metabolic process,phosphotransferase activity, alcohol group as acceptor,D-xylose metabolic process,xylulokinase activity","BP,MF,BP,MF"
XP_001728148.2,"GO:0022857,GO:0055085","transmembrane transporter activity,transmembrane transport","MF,BP"
XP_001728154.1,"GO:0044237,GO:0016787","cellular metabolic process,hydrolase activity","BP,MF"
XP_001728155.2,"GO:0016021,GO:0022857,GO:0055085,GO:0022857","integral component of membrane,transmembrane transporter activity,transmembrane transport,transmembrane transporter activity","CC,MF,BP,MF"
XP_001728158.1,"GO:0020037,GO:0055114,GO:0005506,GO:0016705","heme binding,oxidation-reduction process,iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF,BP,MF,MF"
XP_001728159.2,GO:0007034,vacuolar transport,BP
XP_001728167.1,GO:0005515,protein binding,MF
XP_001728169.2,"GO:0005975,GO:0004553","carbohydrate metabolic process,hydrolase activity, hydrolyzing O-glycosyl compounds","BP,MF"
XP_001728179.1,"GO:0004672,GO:0006468,GO:0005524","protein kinase activity,protein phosphorylation,ATP binding","MF,BP,MF"
XP_001728186.2,"GO:0055114,GO:0022900,GO:0050660,GO:0016627,GO:0006099,GO:0055114,GO:0050660,GO:0016627,GO:0016491,GO:0055114","oxidation-reduction process,electron transport chain,flavin adenine dinucleotide binding,oxidoreductase activity, acting on the CH-CH group of donors,tricarboxylic acid cycle,oxidation-reduction process,flavin adenine dinucleotide binding,oxidoreductase activity, acting on the CH-CH group of donors,oxidoreductase activity,oxidation-reduction process","BP,BP,MF,MF,BP,BP,MF,MF,MF,BP"
XP_001728187.1,"GO:0016491,GO:0055114,GO:0008270,GO:0016491","oxidoreductase activity,oxidation-reduction process,zinc ion binding,oxidoreductase activity","MF,BP,MF,MF"
XP_001728193.2,GO:0005515,protein binding,MF
XP_001728194.2,"GO:0022857,GO:0055085","transmembrane transporter activity,transmembrane transport","MF,BP"
XP_001728196.2,"GO:0022857,GO:0016020,GO:0055085","transmembrane transporter activity,membrane,transmembrane transport","MF,CC,BP"
XP_001728197.2,"GO:0046854,GO:0048015,GO:0016301,GO:0016773","phosphatidylinositol phosphorylation,phosphatidylinositol-mediated signaling,kinase activity,phosphotransferase activity, alcohol group as acceptor","BP,BP,MF,MF"
XP_001728198.1,GO:0070072,vacuolar proton-transporting V-type ATPase complex assembly,BP
XP_001728199.2,"GO:0046872,GO:0016813,GO:0046872","metal ion binding,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines,metal ion binding","MF,MF,MF"
XP_001728202.1,"GO:0008608,GO:0042729,GO:0072686","attachment of spindle microtubules to kinetochore,DASH complex,mitotic spindle","BP,CC,CC"
XP_001728209.1,GO:0055085,transmembrane transport,BP
XP_001728212.1,"GO:0072321,GO:0005758","chaperone-mediated protein transport,mitochondrial intermembrane space","BP,CC"
XP_001728214.1,"GO:0005787,GO:0016021,GO:0006465,GO:0005787","signal peptidase complex,integral component of membrane,signal peptide processing,signal peptidase complex","CC,CC,BP,CC"
XP_001728217.2,"GO:0008061,GO:0005975,GO:0016810,GO:0005975,GO:0003824","chitin binding,carbohydrate metabolic process,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,carbohydrate metabolic process,catalytic activity","MF,BP,MF,BP,MF"
XP_001728219.1,GO:0016020,membrane,CC
XP_001728226.1,"GO:0016021,GO:0005789","integral component of membrane,endoplasmic reticulum membrane","CC,CC"
XP_001728227.2,GO:0015031,protein transport,BP
XP_001728228.2,GO:0016021,integral component of membrane,CC
XP_001728233.2,"GO:0020037,GO:0055114,GO:0005506,GO:0016705,GO:0055114,GO:0016705","heme binding,oxidation-reduction process,iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen,oxidation-reduction process,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF,BP,MF,MF,BP,MF"
XP_001728234.1,"GO:0030026,GO:0005384","cellular manganese ion homeostasis,manganese ion transmembrane transporter activity","BP,MF"
XP_001728250.2,"GO:0004842,GO:0005680","ubiquitin-protein transferase activity,anaphase-promoting complex","MF,CC"
XP_001728262.2,"GO:0022857,GO:0055085,GO:0022857,GO:0016021,GO:0022857,GO:0055085","transmembrane transporter activity,transmembrane transport,transmembrane transporter activity,integral component of membrane,transmembrane transporter activity,transmembrane transport","MF,BP,MF,CC,MF,BP"
XP_001728263.1,GO:0016491,oxidoreductase activity,MF
XP_001728268.2,"GO:0004181,GO:0016787","metallocarboxypeptidase activity,hydrolase activity","MF,MF"
XP_001728273.1,"GO:0016491,GO:0004601,GO:0020037,GO:0006979,GO:0055114","oxidoreductase activity,peroxidase activity,heme binding,response to oxidative stress,oxidation-reduction process","MF,MF,MF,BP,BP"
XP_001728277.1,"GO:0016020,GO:0055085","membrane,transmembrane transport","CC,BP"
XP_001728280.2,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_001728295.1,"GO:0003723,GO:0003676,GO:0006397","RNA binding,nucleic acid binding,mRNA processing","MF,MF,BP"
XP_001728296.2,GO:0005515,protein binding,MF
XP_001728299.2,"GO:0000289,GO:0004535,GO:0031251,GO:0006397,GO:0005515,GO:0003676","nuclear-transcribed mRNA poly(A) tail shortening,poly(A)-specific ribonuclease activity,PAN complex,mRNA processing,protein binding,nucleic acid binding","BP,MF,CC,BP,MF,MF"
XP_001728306.1,GO:0005515,protein binding,MF
XP_001728307.2,"GO:0046514,GO:0017040","ceramide catabolic process,N-acylsphingosine amidohydrolase activity","BP,MF"
XP_001728310.2,"GO:0016491,GO:0003824,GO:0016491,GO:0055114,GO:0010181","oxidoreductase activity,catalytic activity,oxidoreductase activity,oxidation-reduction process,FMN binding","MF,MF,MF,BP,MF"
XP_001728315.2,GO:0005515,protein binding,MF
XP_001728316.1,"GO:0006526,GO:0004358","arginine biosynthetic process,glutamate N-acetyltransferase activity","BP,MF"
XP_001728317.2,"GO:0005524,GO:0006260,GO:0003677","ATP binding,DNA replication,DNA binding","MF,BP,MF"
XP_001728322.1,"GO:0030942,GO:0005786,GO:0005047,GO:0008312,GO:0006614,GO:0003723","endoplasmic reticulum signal peptide binding,signal recognition particle, endoplasmic reticulum targeting,signal recognition particle binding,7S RNA binding,SRP-dependent cotranslational protein targeting to membrane,RNA binding","MF,CC,MF,MF,BP,MF"
XP_001728325.1,GO:0005515,protein binding,MF
XP_001728326.1,"GO:0016746,GO:0044255,GO:0008374","transferase activity, transferring acyl groups,cellular lipid metabolic process,O-acyltransferase activity","MF,BP,MF"
XP_001728327.1,GO:0005515,protein binding,MF
XP_001728337.2,"GO:0022857,GO:0055085,GO:0022857","transmembrane transporter activity,transmembrane transport,transmembrane transporter activity","MF,BP,MF"
XP_001728349.1,"GO:0090730,GO:0004519,GO:0006364","Las1 complex,endonuclease activity,rRNA processing","CC,MF,BP"
XP_001728355.2,"GO:0004518,GO:0003677,GO:0003824,GO:0016788","nuclease activity,DNA binding,catalytic activity,hydrolase activity, acting on ester bonds","MF,MF,MF,MF"
XP_001728360.2,GO:0017056,structural constituent of nuclear pore,MF
XP_001728364.2,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",BP
XP_001728366.2,GO:0006629,lipid metabolic process,BP
XP_001728367.2,"GO:0006396,GO:0005515","RNA processing,protein binding","BP,MF"
XP_001728372.1,"GO:0006487,GO:0016021,GO:0008250","protein N-linked glycosylation,integral component of membrane,oligosaccharyltransferase complex","BP,CC,CC"
XP_001728373.1,GO:0016603,glutaminyl-peptide cyclotransferase activity,MF
XP_001728377.2,"GO:0016538,GO:0042025,GO:0006357","cyclin-dependent protein serine/threonine kinase regulator activity,host cell nucleus,regulation of transcription by RNA polymerase II","MF,CC,BP"
XP_001728397.2,"GO:0030008,GO:0016192","TRAPP complex,vesicle-mediated transport","CC,BP"
XP_001728402.2,"GO:0022857,GO:0055085","transmembrane transporter activity,transmembrane transport","MF,BP"
XP_001728403.1,"GO:0005085,GO:0005737,GO:0005515,GO:0020037","guanyl-nucleotide exchange factor activity,cytoplasm,protein binding,heme binding","MF,CC,MF,MF"
XP_001728404.1,"GO:0022857,GO:0055085","transmembrane transporter activity,transmembrane transport","MF,BP"
XP_001728406.1,"GO:0019887,GO:0005956,GO:0005956,GO:0019887","protein kinase regulator activity,protein kinase CK2 complex,protein kinase CK2 complex,protein kinase regulator activity","MF,CC,CC,MF"
XP_001728407.2,"GO:0005515,GO:0006886,GO:0034066","protein binding,intracellular protein transport,RIC1-RGP1 guanyl-nucleotide exchange factor complex","MF,BP,CC"
XP_001728408.1,"GO:0004576,GO:0006486,GO:0016020","oligosaccharyl transferase activity,protein glycosylation,membrane","MF,BP,CC"
XP_001728409.1,"GO:0005840,GO:0003735,GO:0006412","ribosome,structural constituent of ribosome,translation","CC,MF,BP"
XP_001728416.2,GO:0003725,double-stranded RNA binding,MF
XP_001728424.2,GO:0000398,"mRNA splicing, via spliceosome",BP
XP_001728430.2,GO:0055085,transmembrane transport,BP
XP_001728437.1,GO:0008270,zinc ion binding,MF
XP_001728439.2,"GO:0046872,GO:0030001","metal ion binding,metal ion transport","MF,BP"
XP_001728446.2,"GO:0042025,GO:0008270,GO:0000981,GO:0006355","host cell nucleus,zinc ion binding,DNA-binding transcription factor activity, RNA polymerase II-specific,regulation of transcription, DNA-templated","CC,MF,MF,BP"
XP_001728447.2,GO:0005515,protein binding,MF
XP_001728449.2,"GO:0006284,GO:0006281,GO:0003824","base-excision repair,DNA repair,catalytic activity","BP,BP,MF"
XP_001728450.2,"GO:0006281,GO:0003824,GO:0016787,GO:0006284,GO:0003677","DNA repair,catalytic activity,hydrolase activity,base-excision repair,DNA binding","BP,MF,MF,BP,MF"
XP_001728451.2,"GO:0042025,GO:0008270,GO:0000981,GO:0006355","host cell nucleus,zinc ion binding,DNA-binding transcription factor activity, RNA polymerase II-specific,regulation of transcription, DNA-templated","CC,MF,MF,BP"
XP_001728455.2,GO:0016787,hydrolase activity,MF
XP_001728457.1,"GO:0005525,GO:0006614,GO:0006614,GO:0005525,GO:0006886,GO:0003924,GO:0005525,GO:0005047,GO:0005785","GTP binding,SRP-dependent cotranslational protein targeting to membrane,SRP-dependent cotranslational protein targeting to membrane,GTP binding,intracellular protein transport,GTPase activity,GTP binding,signal recognition particle binding,signal recognition particle receptor complex","MF,BP,BP,MF,BP,MF,MF,MF,CC"
XP_001728458.2,"GO:0005515,GO:0004674,GO:0016301","protein binding,protein serine/threonine kinase activity,kinase activity","MF,MF,MF"
XP_001728471.2,"GO:0006298,GO:0030983,GO:0005524","mismatch repair,mismatched DNA binding,ATP binding","BP,MF,MF"
XP_001728477.2,"GO:0055114,GO:0051287,GO:0051287,GO:0016616,GO:0055114","oxidation-reduction process,NAD binding,NAD binding,oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,oxidation-reduction process","BP,MF,MF,MF,BP"
XP_001728478.1,GO:0016491,oxidoreductase activity,MF
XP_001728480.2,"GO:0005515,GO:0008080,GO:0004402","protein binding,N-acetyltransferase activity,histone acetyltransferase activity","MF,MF,MF"
XP_001728481.2,GO:0006351,"transcription, DNA-templated",BP
XP_001728485.1,"GO:0003899,GO:0003677,GO:0006351,GO:0003677,GO:0003899,GO:0006351,GO:0005634,GO:0006351,GO:0005665,GO:0003899","DNA-directed 5'-3' RNA polymerase activity,DNA binding,transcription, DNA-templated,DNA binding,DNA-directed 5'-3' RNA polymerase activity,transcription, DNA-templated,nucleus,transcription, DNA-templated,RNA polymerase II, core complex,DNA-directed 5'-3' RNA polymerase activity","MF,MF,BP,MF,MF,BP,CC,BP,CC,MF"
XP_001728488.2,GO:0055085,transmembrane transport,BP
XP_001728496.1,"GO:0004417,GO:0009228,GO:0004789,GO:0009228,GO:0003824","hydroxyethylthiazole kinase activity,thiamine biosynthetic process,thiamine-phosphate diphosphorylase activity,thiamine biosynthetic process,catalytic activity","MF,BP,MF,BP,MF"
XP_001728497.1,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,BP
XP_001728501.2,"GO:0003676,GO:0005524","nucleic acid binding,ATP binding","MF,MF"
XP_001728506.2,"GO:0020037,GO:0055114,GO:0005506,GO:0016705","heme binding,oxidation-reduction process,iron ion binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF,BP,MF,MF"
XP_001728507.1,"GO:0006629,GO:0006629,GO:0004806","lipid metabolic process,lipid metabolic process,triglyceride lipase activity","BP,BP,MF"
XP_001728508.2,"GO:0005525,GO:0006886,GO:0005525","GTP binding,intracellular protein transport,GTP binding","MF,BP,MF"
XP_001728517.2,"GO:0003824,GO:0030170,GO:0009058","catalytic activity,pyridoxal phosphate binding,biosynthetic process","MF,MF,BP"
XP_001728521.2,"GO:0005524,GO:0003677,GO:0003678,GO:0005524,GO:0003676,GO:0006139,GO:0004386,GO:0016818,GO:0005524,GO:0003678,GO:0016818,GO:0003678","ATP binding,DNA binding,DNA helicase activity,ATP binding,nucleic acid binding,nucleobase-containing compound metabolic process,helicase activity,hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,ATP binding,DNA helicase activity,hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides,DNA helicase activity","MF,MF,MF,MF,MF,BP,MF,MF,MF,MF,MF,MF"
XP_001728522.1,"GO:0004672,GO:0006468,GO:0004672,GO:0006468,GO:0005524","protein kinase activity,protein phosphorylation,protein kinase activity,protein phosphorylation,ATP binding","MF,BP,MF,BP,MF"
XP_001728527.2,"GO:0016021,GO:0006812,GO:0016887,GO:0000166,GO:0016021","integral component of membrane,cation transport,ATPase activity,nucleotide binding,integral component of membrane","CC,BP,MF,MF,CC"
XP_001728530.2,"GO:0004017,GO:0005524","adenylate kinase activity,ATP binding","MF,MF"
XP_001728534.2,GO:0046983,protein dimerization activity,MF
XP_001728535.2,"GO:0016567,GO:0004842,GO:0005515","protein ubiquitination,ubiquitin-protein transferase activity,protein binding","BP,MF,MF"
XP_001728537.1,"GO:0055114,GO:0016491,GO:0055114,GO:0050661,GO:0051287","oxidation-reduction process,oxidoreductase activity,oxidation-reduction process,NADP binding,NAD binding","BP,MF,BP,MF,MF"
XP_001728538.1,"GO:0005975,GO:0016853","carbohydrate metabolic process,isomerase activity","BP,MF"
XP_001728539.2,"GO:0004807,GO:0003824","triose-phosphate isomerase activity,catalytic activity","MF,MF"
XP_001728541.1,"GO:0006487,GO:0003975,GO:0006488,GO:0016021,GO:0008963","protein N-linked glycosylation,UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity,dolichol-linked oligosaccharide biosynthetic process,integral component of membrane,phospho-N-acetylmuramoyl-pentapeptide-transferase activity","BP,MF,BP,CC,MF"
XP_001728545.1,"GO:0043631,GO:0004652,GO:0016779,GO:0031123,GO:0003723","RNA polyadenylation,polynucleotide adenylyltransferase activity,nucleotidyltransferase activity,RNA 3'-end processing,RNA binding","BP,MF,MF,BP,MF"
XP_001728557.1,"GO:0033255,GO:0016573","SAS acetyltransferase complex,histone acetylation","CC,BP"
XP_001728558.2,"GO:0000813,GO:0032509","ESCRT I complex,endosome transport via multivesicular body sorting pathway","CC,BP"
XP_001728564.2,"GO:0008080,GO:0004343,GO:0006048","N-acetyltransferase activity,glucosamine 6-phosphate N-acetyltransferase activity,UDP-N-acetylglucosamine biosynthetic process","MF,MF,BP"
XP_011392772.1,"GO:0000387,GO:0006396","spliceosomal snRNP assembly,RNA processing","BP,BP"
XP_011392773.1,"GO:0000387,GO:0006396","spliceosomal snRNP assembly,RNA processing","BP,BP"
XP_011392783.1,"GO:0016620,GO:0055114,GO:0051287,GO:0055114,GO:0003942,GO:0006526,GO:0055114,GO:0003942,GO:0005737,GO:0003991,GO:0005739,GO:0006526,GO:0003942","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,oxidation-reduction process,NAD binding,oxidation-reduction process,N-acetyl-gamma-glutamyl-phosphate reductase activity,arginine biosynthetic process,oxidation-reduction process,N-acetyl-gamma-glutamyl-phosphate reductase activity,cytoplasm,acetylglutamate kinase activity,mitochondrion,arginine biosynthetic process,N-acetyl-gamma-glutamyl-phosphate reductase activity","MF,BP,MF,BP,MF,BP,BP,MF,CC,MF,CC,BP,MF"
XP_011392784.1,GO:0005515,protein binding,MF
XP_011392785.1,GO:0005515,protein binding,MF
XP_011392786.1,GO:0005886,plasma membrane,CC
XP_011392790.1,"GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468","protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation","MF,BP,MF,MF,BP"
XP_011392792.1,"GO:0005524,GO:0046872,GO:0005524","ATP binding,metal ion binding,ATP binding","MF,MF,MF"
XP_011392793.1,"GO:0045454,GO:0015035,GO:0006662,GO:0045454","cell redox homeostasis,protein disulfide oxidoreductase activity,glycerol ether metabolic process,cell redox homeostasis","BP,MF,BP,BP"
XP_011392794.1,"GO:0045454,GO:0015035,GO:0006662,GO:0045454","cell redox homeostasis,protein disulfide oxidoreductase activity,glycerol ether metabolic process,cell redox homeostasis","BP,MF,BP,BP"
XP_011392798.1,"GO:0015986,GO:0015078,GO:0000276","ATP synthesis coupled proton transport,proton transmembrane transporter activity,mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","BP,MF,CC"
XP_011392806.1,"GO:0016491,GO:0055114","oxidoreductase activity,oxidation-reduction process","MF,BP"
XP_011392811.1,GO:0046856,phosphatidylinositol dephosphorylation,BP
XP_011392812.1,GO:0046856,phosphatidylinositol dephosphorylation,BP
XP_011392813.1,"GO:0005524,GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468","ATP binding,protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation","MF,MF,BP,MF,MF,BP"
XP_011392814.1,"GO:0004672,GO:0006468,GO:0005524,GO:0005524,GO:0004672,GO:0006468","protein kinase activity,protein phosphorylation,ATP binding,ATP binding,protein kinase activity,protein phosphorylation","MF,BP,MF,MF,MF,BP"
XP_011392815.1,"GO:0005524,GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468","ATP binding,protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation","MF,MF,BP,MF,MF,BP"
XP_011392820.1,GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",MF
XP_011392822.1,"GO:0000413,GO:0003755,GO:0003755,GO:0006457","protein peptidyl-prolyl isomerization,peptidyl-prolyl cis-trans isomerase activity,peptidyl-prolyl cis-trans isomerase activity,protein folding","BP,MF,MF,BP"
XP_011392829.1,"GO:0004672,GO:0006468,GO:0005524","protein kinase activity,protein phosphorylation,ATP binding","MF,BP,MF"
XP_011392830.1,"GO:0004672,GO:0006468,GO:0005524,GO:0005524","protein kinase activity,protein phosphorylation,ATP binding,ATP binding","MF,BP,MF,MF"
XP_011392831.1,"GO:0022857,GO:0022857,GO:0055085","transmembrane transporter activity,transmembrane transporter activity,transmembrane transport","MF,MF,BP"
XP_011392832.1,"GO:0022857,GO:0055085,GO:0022857","transmembrane transporter activity,transmembrane transport,transmembrane transporter activity","MF,BP,MF"
XP_011392834.1,"GO:0008236,GO:0006508","serine-type peptidase activity,proteolysis","MF,BP"
XP_011392839.1,"GO:0005515,GO:0001682,GO:0005655,GO:0000172","protein binding,tRNA 5'-leader removal,nucleolar ribonuclease P complex,ribonuclease MRP complex","MF,BP,CC,CC"
XP_011392840.1,"GO:0005515,GO:0016788,GO:0001682,GO:0005655,GO:0000172","protein binding,hydrolase activity, acting on ester bonds,tRNA 5'-leader removal,nucleolar ribonuclease P complex,ribonuclease MRP complex","MF,MF,BP,CC,CC"
XP_011392842.1,GO:0005515,protein binding,MF
XP_011392847.1,"GO:0004326,GO:0009396,GO:0005524,GO:0016874,GO:0005524,GO:0009058,GO:0005524,GO:0009058","tetrahydrofolylpolyglutamate synthase activity,folic acid-containing compound biosynthetic process,ATP binding,ligase activity,ATP binding,biosynthetic process,ATP binding,biosynthetic process","MF,BP,MF,MF,MF,BP,MF,BP"
XP_011392848.1,"GO:0016021,GO:0006506,GO:0016746","integral component of membrane,GPI anchor biosynthetic process,transferase activity, transferring acyl groups","CC,BP,MF"
XP_011392849.1,"GO:0016021,GO:0006506,GO:0016746","integral component of membrane,GPI anchor biosynthetic process,transferase activity, transferring acyl groups","CC,BP,MF"
XP_011392850.1,"GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468,GO:0005524,GO:0006468,GO:0004674","protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation,ATP binding,protein phosphorylation,protein serine/threonine kinase activity","MF,BP,MF,MF,BP,MF,BP,MF"
XP_011392851.1,"GO:0004672,GO:0006468,GO:0005524,GO:0004672,GO:0006468,GO:0005524,GO:0006468,GO:0004674","protein kinase activity,protein phosphorylation,ATP binding,protein kinase activity,protein phosphorylation,ATP binding,protein phosphorylation,protein serine/threonine kinase activity","MF,BP,MF,MF,BP,MF,BP,MF"
XP_011392852.1,"GO:0016021,GO:0055085","integral component of membrane,transmembrane transport","CC,BP"
XP_011392853.1,"GO:0016021,GO:0055085","integral component of membrane,transmembrane transport","CC,BP"
XP_011392854.1,"GO:0016021,GO:0055085","integral component of membrane,transmembrane transport","CC,BP"
XP_011392858.1,"GO:0045039,GO:0042719","protein insertion into mitochondrial inner membrane,mitochondrial intermembrane space protein transporter complex","BP,CC"
